56
128 10 1 2 4 4 4 4 -2 4 -1 4
128 10 1 2 4 4 -1 4 4 4 -2 4
512 10 1 1 4 4 -1 -1 4 4 4 4
128 10 1 4 -1 4 4 1 4 -1 4 4
128 10 1 2 4 -1 4 -2 4 4 4 4
128 10 1 2 4 -1 4 4 4 4 -2 4
256 10 1 1 4 -1 4 -1 4 4 4 4
128 10 1 4 2 4 -1 4 4 -2 4 4
256 10 1 2 4 4 4 -2 -1 4 4 4
128 10 1 2 4 4 4 4 -1 4 -2 4
128 10 1 2 4 4 -1 4 4 -2 4 4
512 10 1 1 4 4 4 -1 -1 4 4 4
128 10 1 4 1 4 4 -1 4 4 -1 4
128 10 1 4 2 4 4 -2 4 4 -1 4
128 10 1 4 1 4 4 -1 4 -1 4 4
128 10 1 2 4 -1 4 4 4 -2 4 4
128 10 1 4 -1 4 4 2 4 -2 4 4
128 10 1 2 4 4 4 -2 4 4 -1 4
128 10 1 4 2 4 4 -2 4 -1 4 4
256 10 1 1 4 4 4 -1 4 4 -1 4
128 10 1 2 4 -2 4 -1 4 4 4 4
128 10 1 4 2 4 -2 4 -1 4 4 4
128 10 1 2 4 4 4 -2 4 -1 4 4
128 10 1 2 4 4 -2 4 -1 4 4 4
256 10 1 1 4 4 4 -1 4 -1 4 4
128 10 1 4 1 4 -1 4 -1 4 4 4
512 10 1 1 4 -1 -1 4 4 4 4 4
128 10 1 4 2 4 -2 4 4 4 -1 4
128 10 1 2 4 4 -2 4 4 4 -1 4
-512 10 1 4 4 4 4 4 4 4 -1 -4
256 10 1 1 4 4 -1 4 -1 4 4 4
128 10 1 4 1 4 -1 4 4 4 -1 4
128 10 1 4 -1 4 1 4 -1 4 4 4
-256 10 1 2 -1 -2 4 4 4 4 4 4
128 10 1 4 2 4 -2 4 4 -1 4 4
128 10 1 2 4 4 -2 4 4 -1 4 4
256 10 1 1 4 -1 4 4 -1 4 4 4
128 10 1 4 1 4 -1 4 4 -1 4 4
256 10 1 1 4 4 -1 4 4 4 -1 4
256 10 1 2 4 -2 -1 4 4 4 4 4
256 10 1 1 4 -1 4 4 4 4 -1 4
256 10 1 1 4 4 -1 4 4 -1 4 4
128 10 1 4 -1 4 1 4 4 -1 4 4
128 10 1 4 -1 4 4 -1 4 1 4 4
128 10 1 4 2 4 -1 4 -2 4 4 4
128 10 1 2 4 4 4 -1 4 4 -2 4
256 10 1 1 4 -1 4 4 4 -1 4 4
256 10 1 1 4 4 4 4 -1 4 -1 4
128 10 1 2 4 -2 4 4 -1 4 4 4
128 10 1 2 4 4 -1 4 -2 4 4 4
128 10 1 2 4 -1 4 4 -2 4 4 4
128 10 1 4 2 4 4 -1 4 -2 4 4
128 10 1 2 4 -2 4 4 4 4 -1 4
128 10 1 2 4 4 4 -1 4 -2 4 4
256 10 1 2 4 4 -2 -1 4 4 4 4
128 10 1 2 4 -2 4 4 4 -1 4 4
