24
-128 8 -1 -2 -2 -2 1 2 2 2
64 8 -1 -1 -2 1 2 2 1 -2
-32 8 -1 -2 -1 -2 1 2 1 2
32 8 -1 -2 -1 2 1 -2 1 2
32 8 -1 -2 1 2 -1 -2 1 2
-128 8 -1 -1 -2 -2 1 1 2 2
-64 8 -1 -1 -2 -2 1 2 1 2
-64 8 -1 -2 -3 -3 1 3 3 2
-32 8 -1 -3 -2 3 1 -3 2 3
-32 8 -1 -2 -3 -3 2 3 1 3
32 8 -1 -2 -3 2 3 3 1 -3
-64 8 -1 -2 -3 -3 1 2 3 3
-32 8 -1 -3 -2 -3 1 3 2 3
32 8 -1 -3 -2 3 2 -3 1 3
-32 8 -1 -2 -3 1 3 3 2 -3
-32 8 -1 -2 -3 -3 1 3 2 3
-64 8 -1 -2 -3 -3 2 1 3 3
-16 8 -1 -2 -3 -4 2 4 1 3
-32 8 -1 -2 -3 -4 1 2 4 3
-32 8 -1 -2 -3 -4 2 1 4 3
-32 8 -1 -2 -3 -4 1 4 3 2
-16 8 -1 -2 -3 -4 1 2 3 4
-16 8 -1 -2 -3 -4 1 3 4 2
16 8 -1 -2 -3 -4 3 4 1 2
