3701
-2048 12 -1 -2 -2 -2 -2 -2 1 2 2 2 2 2
512 12 -1 -2 -2 -2 1 -2 -1 2 2 1 2 2
-512 12 -1 -2 -1 -2 -2 -2 1 2 2 1 2 2
1024 12 -1 -1 -2 -2 -2 1 2 2 2 2 1 -2
1024 12 -1 -1 -2 -2 1 2 2 2 2 1 -2 -2
-2048 12 -1 -1 -2 -2 -2 -2 1 1 2 2 2 2
512 12 -1 -2 -2 1 -2 -2 -1 2 2 1 2 2
-512 12 -1 -2 -2 -2 -2 1 2 -1 2 2 1 2
-1024 12 -1 -1 -2 -2 -2 -2 1 2 2 1 2 2
-512 12 -1 -2 -1 -2 -2 1 -2 1 2 2 2 2
-512 12 -1 -2 -2 -2 -1 -2 1 2 2 2 1 2
512 12 -1 -2 -2 -2 1 -2 -1 2 2 2 1 2
512 12 -1 -2 -2 -2 1 2 2 -1 -2 1 2 2
-1024 12 -1 -1 -2 -2 -2 -2 1 2 1 2 2 2
-512 12 -1 -2 -1 -2 -2 -2 1 2 2 2 1 2
-512 12 -1 -2 -1 -2 -2 -2 1 2 1 2 2 2
512 12 -1 -2 -1 2 1 -2 -2 -2 1 2 2 2
-512 12 -1 -2 -1 -2 1 -2 -2 1 2 2 2 2
-512 12 -1 -2 -2 -1 -2 -2 1 2 2 1 2 2
512 12 -1 -2 -2 -2 1 -2 -1 2 1 2 2 2
-512 12 -1 -2 -2 -1 -2 -2 1 2 2 2 1 2
512 12 -1 -2 -2 -1 2 2 1 -2 -2 1 2 2
-1024 12 -1 -1 -2 -2 -2 -2 1 2 2 2 1 2
512 12 -1 -2 -2 -1 2 1 -2 -2 1 2 2 2
-512 12 -1 -2 -2 -2 -2 1 2 -1 2 1 2 2
512 12 -1 -2 -2 -1 -2 1 2 2 2 2 1 -2
512 12 -1 -2 -2 -2 1 2 -1 -2 1 2 2 2
512 12 -1 -2 -1 -2 -2 1 2 2 2 2 1 -2
512 12 -1 -2 -1 2 2 1 -2 -2 -2 1 2 2
512 12 -1 -2 -2 1 2 2 -1 -2 -2 1 2 2
1024 12 -1 -1 -1 -2 -2 1 2 2 2 1 1 -2
512 12 -1 -1 -2 -1 2 1 1 -2 -2 1 2 2
-128 12 -1 -2 -1 -2 1 -2 1 2 -1 2 1 2
-256 12 -1 -1 -2 -1 2 1 2 1 2 1 -2 -2
-128 12 -1 -2 1 2 -1 -2 1 2 -1 -2 1 2
-128 12 -1 -2 -1 -2 -1 -2 1 2 1 2 1 2
256 12 -1 -1 -2 -2 -1 2 1 -2 1 2 1 2
-2048 12 -1 -1 -1 -2 -2 -2 1 1 1 2 2 2
-512 12 -1 -1 -2 -1 -2 -2 1 2 2 1 1 2
256 12 -1 -1 -2 -1 -2 1 2 1 2 2 1 -2
256 12 -1 -1 -2 -1 -2 1 2 2 1 2 1 -2
-1024 12 -1 -1 -1 -2 -2 -2 1 2 2 1 1 2
512 12 -1 -1 -1 -2 1 -2 1 2 2 2 1 -2
256 12 -1 -1 -2 -1 2 1 -2 -2 1 2 1 2
-256 12 -1 -1 -2 -1 2 2 1 -2 1 2 1 -2
-1024 12 -1 -1 -1 -2 -2 -2 1 1 2 2 1 2
256 12 -1 -1 -2 -1 2 1 -2 1 -2 1 2 2
-256 12 -1 -1 -2 -1 -2 1 -2 1 2 1 2 2
-512 12 -1 -1 -2 -1 -2 -2 1 1 2 2 1 2
-256 12 -1 -1 -2 -1 -2 1 -2 1 2 2 1 2
512 12 -1 -1 -1 -2 -2 1 2 2 1 2 1 -2
-128 12 -1 -2 -1 -2 1 2 -1 2 1 -2 1 2
128 12 -1 -2 -1 -2 1 2 1 -2 -1 2 1 2
-512 12 -1 -1 -2 -1 2 1 1 2 2 1 -2 -2
-128 12 -1 -2 -1 2 -1 -2 1 2 1 -2 1 2
512 12 -1 -1 -2 -1 2 1 -2 -2 1 1 2 2
512 12 -1 -1 -2 -1 2 2 1 1 -2 -2 1 2
-512 12 -1 -1 -1 -2 -2 1 2 1 -2 1 2 2
512 12 -1 -1 -2 -2 1 1 2 -1 -2 1 2 2
-256 12 -1 -1 -2 1 2 -1 2 1 -2 -2 1 2
-256 12 -1 -1 -2 -2 -1 2 1 2 1 2 1 -2
-512 12 -1 -1 -1 -2 -2 -2 1 2 1 2 1 2
512 12 -1 -1 -2 -2 1 2 2 -1 -2 1 1 2
-512 12 -1 -1 -2 -2 -1 2 1 1 2 2 1 -2
-1024 12 -1 -1 -1 -2 -2 -2 1 1 2 1 2 2
-512 12 -1 -1 -1 -2 -2 1 2 2 1 -2 1 2
-256 12 -1 -1 -2 1 2 -1 -2 1 2 2 1 -2
-256 12 -1 -1 -2 -2 1 2 -1 2 1 -2 1 2
512 12 -1 -1 -2 -1 2 2 1 -2 -2 1 1 2
-512 12 -1 -1 -2 -1 -2 -2 1 1 2 1 2 2
-512 12 -1 -1 -2 -1 2 2 1 1 2 1 -2 -2
1024 12 -1 -1 -1 -2 -2 1 1 2 2 2 1 -2
-256 12 -1 -1 -2 -1 2 1 -2 1 2 2 1 -2
-256 12 -1 -1 -2 -1 -2 1 2 1 -2 1 2 2
-512 12 -1 -1 -1 -2 1 2 2 1 -2 -2 1 2
512 12 -1 -1 -1 -2 -2 1 2 1 2 2 1 -2
256 12 -1 -1 -2 -2 -1 2 1 2 1 -2 1 2
-512 12 -1 -1 -2 -1 2 1 2 2 1 1 -2 -2
-512 12 -1 -1 -1 -2 1 -2 -2 1 2 2 1 2
256 12 -1 -1 -2 -1 2 2 1 -2 1 -2 1 2
256 12 -1 -1 -2 -2 1 2 1 -2 -1 2 1 2
-256 12 -1 -1 -2 -1 -2 -2 1 2 1 2 1 2
-256 12 -1 -1 -2 -1 -2 1 2 2 1 -2 1 2
256 12 -1 -1 -2 -1 2 1 2 1 -2 -2 1 2
256 12 -1 -1 -2 1 2 1 2 -1 -2 -2 1 2
-512 12 -1 -1 -1 -2 -2 1 -2 1 2 1 2 2
-512 12 -1 -1 -1 -2 -2 1 -2 1 2 2 1 2
128 12 -1 -2 -1 -2 1 2 -1 -2 1 2 1 2
-256 12 -1 -1 -2 -1 2 1 2 2 1 -2 1 -2
256 12 -1 -1 -2 -2 1 2 -1 -2 1 2 1 2
