131
-512 12 1 4 2 4 -1 4 -2 4 4 4 4 4
-512 12 1 2 4 4 -2 4 4 4 4 4 -1 4
-1024 12 1 1 4 4 -1 4 -1 4 4 4 4 4
-512 12 1 4 1 4 -1 4 4 4 -1 4 4 4
-512 12 1 4 -1 4 1 4 -1 4 4 4 4 4
1024 12 1 2 -1 -2 4 4 4 4 4 4 4 4
-512 12 1 2 4 4 4 4 4 -1 4 4 -2 4
-512 12 1 4 2 4 -2 4 4 -1 4 4 4 4
-512 12 1 2 4 4 4 -2 4 4 -1 4 4 4
-512 12 1 2 4 4 -2 4 4 4 4 -1 4 4
-512 12 1 2 4 4 4 4 -1 4 -2 4 4 4
-512 12 1 4 2 4 4 4 -1 4 4 -2 4 4
-2048 12 1 1 4 4 -1 -1 4 4 4 4 4 4
-1024 12 1 1 4 4 4 4 4 -1 4 4 -1 4
-512 12 1 4 -1 4 4 1 4 -1 4 4 4 4
-512 12 1 2 4 4 4 -1 4 4 -2 4 4 4
-512 12 1 4 2 4 4 -1 4 4 4 -2 4 4
-1024 12 1 1 4 4 -1 4 4 4 -1 4 4 4
-1024 12 1 1 4 4 4 4 4 -1 4 -1 4 4
-512 12 1 4 1 4 -1 4 4 4 4 4 -1 4
-512 12 1 4 1 4 4 4 -1 4 -1 4 4 4
-512 12 1 4 -1 4 1 4 4 4 -1 4 4 4
-1024 12 1 2 4 -2 -1 4 4 4 4 4 4 4
-512 12 1 4 2 4 4 4 4 -2 4 4 -1 4
-512 12 1 2 4 4 4 -2 4 4 4 4 -1 4
-512 12 1 2 4 4 4 4 4 -1 4 -2 4 4
-512 12 1 4 2 4 4 -2 4 -1 4 4 4 4
-512 12 1 4 1 4 4 -1 4 4 -1 4 4 4
-2048 12 1 1 4 4 4 -1 -1 4 4 4 4 4
-512 12 1 4 1 4 -1 4 4 4 4 -1 4 4
-512 12 1 2 4 4 -1 4 4 -2 4 4 4 4
-512 12 1 2 4 4 -1 4 4 4 4 4 -2 4
-1024 12 1 2 4 4 4 4 -2 -1 4 4 4 4
-512 12 1 4 4 2 4 4 -1 4 4 -2 4 4
-512 12 1 2 4 4 4 -2 4 4 4 -1 4 4
-512 12 1 4 2 4 4 4 -2 4 -1 4 4 4
-512 12 1 4 -1 4 4 4 2 4 4 -2 4 4
-1024 12 1 1 4 -1 4 4 4 -1 4 4 4 4
-1024 12 1 1 4 4 -1 4 4 4 4 4 -1 4
-1024 12 1 1 4 4 4 4 -1 4 -1 4 4 4
-512 12 1 4 1 4 4 4 -1 4 4 4 -1 4
-512 12 1 4 4 -1 4 4 1 4 4 -1 4 4
-512 12 1 2 4 -2 4 4 -1 4 4 4 4 4
-512 12 1 2 4 4 4 4 4 4 -2 4 -1 4
-1024 12 1 1 4 4 -1 4 4 4 4 -1 4 4
-1024 12 1 1 4 4 4 -1 4 4 -1 4 4 4
-512 12 1 4 1 4 4 -1 4 4 4 4 -1 4
-512 12 1 4 1 4 4 4 -1 4 4 -1 4 4
-512 12 1 4 -1 4 1 4 4 4 4 -1 4 4
-512 12 1 2 4 -2 4 -1 4 4 4 4 4 4
-512 12 1 2 4 4 4 4 -1 4 4 4 -2 4
-512 12 1 2 4 -1 4 -2 4 4 4 4 4 4
-512 12 1 2 4 4 -1 4 4 4 4 -2 4 4
-512 12 1 4 2 4 -2 4 -1 4 4 4 4 4
-512 12 1 4 2 4 4 4 -2 4 4 4 -1 4
-1024 12 1 1 4 4 4 4 -1 4 4 4 -1 4
-512 12 1 4 1 4 4 -1 4 4 4 -1 4 4
-512 12 1 4 -1 4 4 4 1 4 -1 4 4 4
-512 12 1 2 4 -2 4 4 4 4 -1 4 4 4
-512 12 1 2 4 4 -1 4 -2 4 4 4 4 4
-512 12 1 2 4 4 4 -1 4 -2 4 4 4 4
-512 12 1 2 4 4 4 -1 4 4 4 4 -2 4
-512 12 1 4 2 4 4 4 -2 4 4 -1 4 4
-512 12 1 2 4 4 -2 4 4 -1 4 4 4 4
-2048 12 1 1 4 -1 -1 4 4 4 4 4 4 4
-1024 12 1 1 4 4 4 -1 4 4 4 4 -1 4
-1024 12 1 1 4 4 4 4 -1 4 4 -1 4 4
-512 12 1 4 2 4 -2 4 4 4 -1 4 4 4
-512 12 1 2 4 4 4 4 4 4 -1 4 -2 4
-512 12 1 2 4 4 4 4 -1 4 4 -2 4 4
-512 12 1 2 4 -1 4 4 4 4 -2 4 4 4
-512 12 1 4 -1 4 4 2 4 4 -2 4 4 4
-1024 12 1 1 4 4 4 -1 4 4 4 -1 4 4
-1024 12 1 1 4 4 4 4 4 4 -1 4 -1 4
-512 12 1 4 -1 4 4 1 4 4 -1 4 4 4
-512 12 1 4 -1 4 4 4 -1 4 1 4 4 4
-512 12 1 2 4 -2 4 4 4 4 4 4 -1 4
-512 12 1 4 2 4 -1 4 4 4 -2 4 4 4
-512 12 1 2 4 4 4 -1 4 4 4 -2 4 4
-512 12 1 4 4 2 4 4 -2 4 4 -1 4 4
2048 12 1 4 4 4 4 4 4 4 4 4 -1 -4
-1024 12 1 1 4 -1 4 4 -1 4 4 4 4 4
-512 12 1 4 1 4 -1 4 4 -1 4 4 4 4
-512 12 1 4 -1 4 4 -1 4 4 1 4 4 4
-512 12 1 4 -1 4 4 4 1 4 4 -1 4 4
-512 12 1 2 4 -2 4 4 4 4 4 -1 4 4
-512 12 1 2 4 4 4 4 4 -2 4 4 -1 4
-512 12 1 4 2 4 -2 4 4 4 4 4 -1 4
-512 12 1 2 4 4 4 -2 4 -1 4 4 4 4
-512 12 1 4 2 4 4 -2 4 4 -1 4 4 4
-1024 12 1 1 4 -1 4 -1 4 4 4 4 4 4
-512 12 1 2 4 4 4 4 4 -2 4 -1 4 4
-512 12 1 4 2 4 -2 4 4 4 4 -1 4 4
-512 12 1 4 2 4 4 4 -1 4 -2 4 4 4
-512 12 1 2 4 4 4 4 -2 4 -1 4 4 4
-512 12 1 4 -1 4 1 4 4 -1 4 4 4 4
-1024 12 1 1 4 4 -1 4 4 -1 4 4 4 4
-1024 12 1 1 4 -1 4 4 4 4 -1 4 4 4
-512 12 1 4 -1 4 4 1 4 4 4 -1 4 4
-512 12 1 4 -1 4 4 -1 4 1 4 4 4 4
-512 12 1 4 4 1 4 4 -1 4 4 -1 4 4
-512 12 1 4 2 4 4 -1 4 4 -2 4 4 4
-512 12 1 2 4 4 -2 4 -1 4 4 4 4 4
-512 12 1 4 2 4 4 -2 4 4 4 4 -1 4
-512 12 1 4 1 4 4 -1 4 -1 4 4 4 4
-512 12 1 2 4 -1 4 4 4 -2 4 4 4 4
-512 12 1 4 -1 4 4 2 4 -2 4 4 4 4
-512 12 1 2 4 -1 4 4 4 4 4 4 -2 4
-512 12 1 2 4 4 4 4 -2 4 4 4 -1 4
-512 12 1 4 2 4 -1 4 4 -2 4 4 4 4
-1024 12 1 2 4 4 -2 -1 4 4 4 4 4 4
-512 12 1 4 2 4 4 -2 4 4 4 -1 4 4
-1024 12 1 1 4 -1 4 4 4 4 4 4 -1 4
-2048 12 1 1 4 4 4 4 -1 -1 4 4 4 4
-512 12 1 4 -1 4 4 4 2 4 -2 4 4 4
-512 12 1 2 4 4 4 4 -2 4 4 -1 4 4
-512 12 1 2 4 4 -2 4 4 4 -1 4 4 4
-1024 12 1 1 4 -1 4 4 4 4 4 -1 4 4
-1024 12 1 1 4 4 4 -1 4 -1 4 4 4 4
-512 12 1 4 1 4 -1 4 -1 4 4 4 4 4
-512 12 1 4 -1 4 4 4 -1 4 4 1 4 4
