189
-512 10 -1 -2 -2 -2 -2 1 2 2 2 2
-256 10 -1 -1 -2 -2 -2 1 2 2 1 2
256 10 -1 -1 -2 -2 1 2 2 2 1 -2
128 10 -1 -2 -1 -2 1 2 2 2 1 -2
128 10 -1 -2 -2 1 -2 -1 2 1 2 2
128 10 -1 -2 -2 1 -2 -1 2 2 1 2
128 10 -1 -2 -1 2 1 -2 -2 1 2 2
-128 10 -1 -2 -2 -2 1 2 -1 2 1 2
-512 10 -1 -1 -2 -2 -2 1 1 2 2 2
128 10 -1 -2 -2 1 2 -1 -2 1 2 2
-128 10 -1 -2 -2 -1 -2 1 2 2 1 2
-128 10 -1 -2 -1 -2 -2 1 2 2 1 2
-128 10 -1 -2 -1 -2 -2 1 2 1 2 2
-128 10 -1 -2 -1 -2 1 -2 1 2 2 2
-256 10 -1 -1 -2 -2 -2 1 2 1 2 2
-128 10 -1 -3 -2 -3 2 -3 1 3 3 3
-256 10 -1 -2 -3 -3 -3 1 2 3 3 3
-256 10 -1 -2 -3 -3 -3 2 1 3 3 3
128 10 -1 -3 -2 3 2 -3 -3 1 3 3
-128 10 -1 -3 -2 -3 -3 1 3 2 3 3
-128 10 -1 -3 -2 -3 -3 1 3 3 2 3
-128 10 -1 -2 -3 -3 -3 1 3 3 2 3
-128 10 -1 -2 -3 -3 -3 1 3 2 3 3
128 10 -1 -2 -3 -3 2 3 3 3 1 -3
-128 10 -1 -2 -3 -3 -3 2 3 3 1 3
-128 10 -1 -2 -3 -3 1 3 3 3 2 -3
-128 10 -1 -2 -3 -3 -3 2 3 1 3 3
-128 10 -1 -3 -2 3 1 -3 -3 2 3 3
-256 10 -1 -2 -3 -3 -3 1 3 3 3 2
-128 10 -1 -2 -2 -3 -3 2 1 3 2 3
-64 10 -1 -2 -3 1 -3 2 3 2 3 -2
-128 10 -1 -2 -2 -3 -3 2 1 3 3 2
-128 10 -1 -2 -2 -3 -3 2 1 2 3 3
-64 10 -1 -2 -3 -2 3 3 2 1 2 -3
128 10 -1 -2 -2 -3 2 3 3 2 1 -3
-128 10 -1 -2 -3 -3 2 2 3 1 3 -2
-128 10 -1 -2 -2 -3 1 2 -3 2 3 3
-64 10 -1 -2 -2 -3 2 -3 2 3 1 3
-128 10 -1 -2 -3 -3 2 1 -2 3 3 2
-128 10 -1 -2 -2 -3 -3 2 2 3 1 3
64 10 -1 -2 -3 2 1 3 -2 -3 2 3
64 10 -1 -2 -3 2 3 1 -2 -3 2 3
-64 10 -1 -2 -2 -3 1 -3 2 3 2 3
64 10 -1 -2 -3 -3 2 3 -2 1 3 2
-128 10 -1 -2 -3 -3 -2 1 2 3 3 2
-128 10 -1 -2 -3 -3 2 2 3 1 -2 3
128 10 -1 -2 -3 -3 2 3 3 -2 1 2
-64 10 -1 -2 -3 2 3 1 -3 -2 3 2
-64 10 -1 -2 -3 -2 3 1 -3 2 2 3
64 10 -1 -2 -3 -3 2 3 -2 1 2 3
-64 10 -1 -2 -3 2 3 1 2 3 -2 -3
-128 10 -1 -2 -2 -3 2 -3 2 1 3 3
-64 10 -1 -2 -3 -2 3 1 -3 2 3 2
64 10 -1 -2 -2 -3 2 3 1 -3 2 3
64 10 -1 -2 -3 -2 3 2 -3 2 1 3
64 10 -1 -2 -3 2 -3 -2 3 2 1 3
-128 10 -1 -2 -2 -3 -3 1 3 2 3 2
64 10 -1 -2 -3 1 2 3 -2 -3 2 3
64 10 -1 -2 -3 -3 -2 3 2 1 3 2
-64 10 -1 -2 -3 -2 3 2 3 1 -3 2
64 10 -1 -2 -3 2 2 3 -2 -3 1 3
64 10 -1 -2 -3 -2 3 3 2 -3 1 2
64 10 -1 -2 -3 2 2 -3 -2 3 1 3
-64 10 -1 -2 -3 -2 -3 2 3 2 1 3
-64 10 -1 -2 -3 -2 1 -3 2 3 3 2
-64 10 -1 -2 -3 -3 2 3 1 2 3 -2
64 10 -1 -2 -3 -2 3 2 -3 1 3 2
64 10 -1 -2 -3 -3 -2 3 2 1 2 3
64 10 -1 -2 -3 -2 3 2 2 -3 1 3
64 10 -1 -2 -3 2 3 -2 -3 2 1 3
128 10 -1 -2 -2 -3 2 3 3 1 -3 2
-256 10 -1 -2 -2 -3 -3 1 2 2 3 3
64 10 -1 -2 -3 1 3 2 -3 -2 3 2
-64 10 -1 -2 -3 -2 -3 1 2 3 3 2
-64 10 -1 -2 -3 -2 3 1 3 2 2 -3
-64 10 -1 -2 -2 -3 1 3 2 3 2 -3
64 10 -1 -2 -2 -3 2 3 2 3 1 -3
-64 10 -1 -2 -3 -2 3 3 2 1 -3 2
-64 10 -1 -2 -3 -3 2 3 1 -2 3 2
128 10 -1 -2 -2 -3 2 3 3 1 2 -3
-256 10 -1 -2 -2 -3 -3 1 3 3 2 2
64 10 -1 -2 -3 -2 3 2 -3 1 2 3
-64 10 -1 -2 -3 -2 3 2 3 1 2 -3
-128 10 -1 -2 -2 -3 1 3 3 2 -3 2
-64 10 -1 -2 -3 -2 3 1 2 3 2 -3
-128 10 -1 -2 -2 -3 -3 2 3 2 1 3
-128 10 -1 -2 -2 -3 2 2 -3 1 3 3
-64 10 -1 -2 -3 -2 3 2 2 3 1 -3
-64 10 -1 -2 -2 -3 1 3 2 -3 2 3
-64 10 -1 -2 -3 -2 -3 2 1 3 2 3
-64 10 -1 -2 -2 -3 2 -3 1 3 2 3
-64 10 -1 -2 -3 1 -2 3 2 3 2 -3
-64 10 -1 -2 -3 -2 -3 1 3 2 3 2
64 10 -1 -2 -2 -3 2 3 1 3 2 -3
128 10 -1 -2 -2 -3 -3 2 3 3 1 2
-64 10 -1 -2 -3 -2 -3 1 2 3 2 3
-64 10 -1 -2 -3 -2 -3 2 2 3 1 3
-64 10 -1 -2 -2 -3 2 3 2 -3 1 3
64 10 -1 -2 -3 2 3 1 3 2 -3 -2
-128 10 -1 -2 -2 -3 -3 1 2 3 3 2
-128 10 -1 -2 -2 -3 -3 1 2 3 2 3
-128 10 -1 -2 -3 -3 2 1 2 3 3 -2
64 10 -1 -2 -3 2 1 3 2 -3 -2 3
-256 10 -1 -2 -2 -3 -3 2 2 1 3 3
-64 10 -1 -2 -3 -4 3 -4 1 4 4 2
32 10 -1 -2 -4 -3 2 4 3 -4 1 4
-64 10 -1 -2 -3 -4 1 4 4 3 -4 2
-64 10 -1 -2 -3 -4 -4 2 3 1 4 4
-64 10 -1 -2 -3 -4 -4 3 1 4 4 2
-32 10 -1 -2 -4 -3 1 -4 3 4 2 4
32 10 -1 -2 -4 2 -3 -4 3 4 1 4
-64 10 -1 -2 -3 -4 -4 1 4 3 4 2
-64 10 -1 -2 -4 -3 -4 3 1 4 4 2
-64 10 -1 -2 -4 -3 -4 1 2 4 3 4
-64 10 -1 -2 -4 -3 -4 2 1 4 3 4
-32 10 -1 -2 -3 -4 1 -4 3 4 2 4
-32 10 -1 -2 -3 -4 3 -4 2 4 1 4
32 10 -1 -2 -3 -4 1 4 2 -4 3 4
64 10 -1 -2 -3 -4 2 3 4 4 1 -4
-64 10 -1 -2 -4 -3 -4 1 4 3 4 2
-128 10 -1 -2 -3 -4 -4 1 2 4 4 3
-128 10 -1 -2 -3 -4 -4 2 1 4 4 3
-128 10 -1 -2 -3 -4 -4 3 2 1 4 4
-32 10 -1 -2 -4 -3 -4 1 4 3 2 4
-32 10 -1 -2 -4 -3 -4 2 4 1 3 4
-64 10 -1 -2 -4 -3 2 -4 3 1 4 4
-32 10 -1 -2 -4 -3 1 4 2 -4 3 4
-64 10 -1 -2 -4 -3 4 1 2 -4 3 4
