j,l,trajectory,M,S,D
1,1,"1 1 4 -1 4 4 -1 4",6,1,64
2,1,"1 1 4 4 -1 -1 4 4",3,1,128
3,1,"1 2 4 -2 4 -1 4 4",24,1,32
4,1,"1 4 2 4 -2 4 -1 4",12,1,32
5,1,"1 2 4 -1 4 -2 4 4",24,1,32
6,1,"1 1 4 -1 4 -1 4 4",6,1,64
7,1,"1 4 1 4 -1 4 -1 4",3,1,32
8,1,"1 2 4 -2 -1 4 4 4",24,1,64
9,1,"1 2 4 4 -1 4 -2 4",24,1,32
10,1,"1 2 -1 4 4 -2 4 4",24,1,0
11,1,"1 2 4 -1 -2 4 4 4",24,1,0
12,1,"1 4 4 4 4 4 -1 -4",6,1,-128
13,1,"1 1 4 -1 -1 4 4 4",6,1,128
14,1,"1 2 4 -1 4 4 -2 4",24,1,32
15,1,"1 4 2 4 -1 4 -2 4",6,1,32
16,1,"1 2 -1 4 -2 4 4 4",24,1,0
17,1,"1 2 4 4 -2 4 -1 4",24,1,32
18,1,"1 1 4 4 -1 4 -1 4",6,1,64
19,1,"1 4 -1 4 1 4 -1 4",3,2,32
20,1,"1 2 -1 -2 4 4 4 4",24,1,-64
21,1,"1 2 4 -2 4 4 -1 4",24,1,32
22,1,"1 2 -1 4 4 4 -2 4",24,1,0
23,1,"1 2 4 4 -1 -2 4 4",12,1,0
24,1,"1 2 4 4 -2 -1 4 4",12,1,64
25,2,"4 4 4 4 4 4 4 4",1,8,512
