j,l,trajectory,M,S,D
1,1,"1 4 2 4 4 4 4 4 -1 4 -2 -4",24,1,0
2,1,"1 2 4 -1 2 4 4 4 4 4 -2 -2",24,1,512
3,1,"1 2 3 4 4 4 4 -2 4 -1 -3 4",48,1,0
4,1,"1 2 -1 -2 4 4 2 4 -2 4 4 4",24,1,-256
5,1,"1 2 -1 4 -2 -2 4 4 4 4 4 2",24,1,512
6,1,"1 2 4 4 -2 -2 -1 4 4 4 2 4",24,1,512
7,1,"1 2 4 -2 4 -1 -2 4 4 4 4 2",24,1,256
8,1,"1 2 4 4 -2 4 2 -1 4 -2 4 4",24,1,0
9,1,"1 4 4 2 2 -1 4 4 4 4 -2 -2",24,1,0
10,1,"1 4 2 4 -2 4 3 4 -3 4 -1 4",16,1,128
11,1,"1 2 4 -2 4 2 4 -1 4 -2 4 4",24,1,128
12,1,"1 2 4 3 -1 4 4 4 -3 -2 4 4",48,1,0
13,1,"1 2 4 4 -2 4 3 4 -1 4 -3 4",48,1,128
14,1,"1 2 3 4 4 -3 -2 4 4 4 -1 4",48,1,256
15,1,"1 1 1 4 4 -1 4 -1 4 4 -1 4",6,1,512
16,1,"1 2 -1 4 4 4 -2 4 4 2 4 -2",24,1,-256
17,1,"1 2 4 4 4 -2 -2 -1 4 4 4 2",24,1,512
18,1,"1 2 3 4 4 -1 4 4 -3 4 4 -2",48,1,0
19,1,"1 2 -1 4 4 -2 4 4 -2 4 2 4",24,1,0
20,1,"1 1 1 4 4 4 4 -1 -1 4 -1 4",6,1,1024
21,1,"1 2 4 -2 4 -2 4 2 -1 4 4 4",24,1,0
22,1,"1 2 4 -1 3 4 4 -2 4 4 -3 4",48,1,128
23,1,"1 2 4 -2 -2 4 4 4 -1 4 2 4",24,1,256
24,1,"1 2 4 -2 4 4 4 -1 -2 4 4 2",24,1,256
25,1,"1 2 -1 -2 4 2 4 4 4 4 4 -2",24,1,-512
26,1,"1 2 -1 -2 4 4 4 -2 4 4 4 2",24,1,0
27,1,"1 2 -1 4 -2 -2 4 4 2 4 4 4",24,1,0
28,1,"1 4 2 2 4 -2 -1 4 4 -2 4 4",24,1,256
29,1,"1 2 2 4 -2 4 4 -1 4 4 -2 4",24,1,256
30,1,"1 2 3 -1 4 -3 4 4 4 -2 4 4",48,1,0
31,1,"1 2 3 4 4 4 -1 -3 4 4 -2 4",48,1,0
32,1,"1 2 4 3 -2 4 -3 4 4 4 -1 4",48,1,128
33,1,"1 2 3 4 4 -1 -2 4 -3 4 4 4",48,1,0
34,1,"1 2 3 4 4 4 -3 -1 4 4 4 -2",48,1,256
35,1,"1 1 1 4 -1 -1 4 4 4 4 -1 4",6,1,1024
36,1,"1 2 4 -2 4 2 -1 4 4 4 4 -2",24,1,-256
37,1,"1 2 4 -2 4 4 -1 -2 4 4 4 2",24,1,256
38,1,"1 2 4 4 -1 4 2 4 4 -2 4 -2",24,1,0
39,1,"1 1 1 4 -1 4 4 4 -1 4 -1 4",6,1,512
40,1,"1 4 2 2 4 4 -1 4 4 -2 -2 4",24,1,512
41,1,"1 2 4 -2 -2 4 4 2 -1 4 4 4",24,1,0
42,1,"1 4 2 4 2 4 -2 -1 4 4 4 -2",24,1,256
43,1,"1 2 2 4 4 4 -1 -2 4 4 4 -2",24,1,-512
44,1,"1 4 2 4 4 2 4 -2 4 -2 -1 4",24,1,128
45,1,"1 4 4 2 2 4 -1 4 4 -2 4 -2",24,1,256
46,1,"1 2 4 3 4 -3 -1 4 -2 4 4 4",48,1,128
47,1,"1 2 2 -1 4 4 -2 4 4 4 -2 4",24,1,0
48,1,"1 2 4 4 2 -1 4 4 -2 4 4 -2",24,1,-256
49,1,"1 2 -1 4 4 4 3 4 4 -2 -3 4",48,1,0
50,1,"1 4 -1 4 4 2 4 4 4 4 -2 -4",24,1,0
51,1,"1 2 4 4 2 4 4 4 -1 4 -2 -2",24,1,0
52,1,"1 4 2 4 -1 4 4 2 4 -2 4 -2",24,1,128
53,1,"1 2 3 4 -1 4 -3 4 4 4 4 -2",48,1,0
54,1,"1 2 -1 4 4 -2 -2 4 4 2 4 4",24,1,0
55,1,"1 4 2 4 4 -2 -1 4 4 2 4 -2",24,1,256
56,1,"1 2 2 -1 4 4 4 4 4 -2 -2 4",24,1,0
57,1,"1 4 2 4 -2 4 -2 -1 4 4 2 4",24,1,128
58,1,"1 2 3 -2 -3 4 4 4 4 4 -1 4",48,1,-256
