j,l,trajectory,M,S,D
59,1,"1 2 2 4 4 4 4 -2 -1 -2 4 4",24,1,512
60,1,"1 2 4 2 -1 4 4 4 4 -2 4 -2",24,1,-256
61,1,"1 2 4 -1 2 4 4 4 4 -2 4 -2",24,1,256
62,1,"1 2 4 2 4 4 -2 -1 4 4 4 -2",24,1,256
63,1,"1 2 4 -2 4 -1 4 2 4 4 -2 4",24,1,128
64,1,"1 2 3 -2 4 -1 -3 4 4 4 4 4",48,1,-256
65,1,"1 2 4 4 4 2 -1 4 -2 4 -2 4",24,1,0
66,1,"1 2 -1 4 4 3 4 4 4 -3 -2 4",48,1,0
67,1,"1 2 -4 -2 4 4 -1 4 4 4 4 4",24,1,-512
68,1,"1 2 4 -1 4 -2 4 2 4 4 -2 4",24,1,128
69,1,"1 2 4 -2 -2 4 4 -1 2 4 4 4",24,1,512
70,1,"1 2 4 4 -2 -1 2 4 4 4 4 -2",24,1,512
71,1,"1 2 3 -1 4 -2 -3 4 4 4 4 4",48,1,0
72,1,"1 4 4 2 -1 4 4 2 4 4 -2 -2",24,1,0
73,1,"1 2 3 4 -3 4 4 -2 4 4 -1 4",48,1,128
74,1,"1 2 3 4 4 4 -3 4 -2 -1 4 4",48,1,256
75,1,"1 2 4 3 4 -1 4 4 -2 4 -3 4",48,1,128
76,1,"1 2 4 -1 4 4 4 2 4 -2 4 -2",24,1,0
77,1,"1 2 4 -2 4 4 4 2 -1 4 -2 4",24,1,0
78,1,"1 2 3 -2 4 4 -3 4 -1 4 4 4",48,1,0
79,1,"1 2 3 4 4 -1 -3 -2 4 4 4 4",48,1,0
80,1,"1 1 4 -1 4 -1 4 4 1 4 -1 4",6,1,256
81,1,"1 2 4 -2 4 4 -2 4 2 4 -1 4",24,1,128
82,1,"1 2 -1 4 3 -2 4 -3 4 4 4 4",48,1,0
83,1,"1 2 4 4 -1 4 4 4 4 4 -2 -4",24,1,-512
84,1,"1 2 4 -2 -2 4 4 -1 4 4 4 2",24,1,512
85,1,"1 4 2 2 4 4 -2 -2 -1 4 4 4",24,1,512
86,1,"1 4 2 4 -2 -1 4 -2 4 4 2 4",24,1,128
87,1,"1 2 3 4 4 4 -3 -2 -1 4 4 4",24,1,512
88,1,"1 2 4 2 4 4 -1 -2 4 4 4 -2",24,1,-256
89,1,"1 2 4 4 4 4 4 -1 4 4 -2 -4",24,1,-512
90,1,"1 4 2 4 -2 -1 4 2 4 4 4 -2",24,1,256
91,1,"1 2 -1 4 -2 4 4 2 4 4 -2 4",24,1,0
92,1,"1 2 4 4 -1 4 4 -2 -2 4 2 4",24,1,256
93,1,"1 4 2 2 4 -2 -2 4 -1 4 4 4",24,1,512
94,1,"1 2 4 4 3 4 -3 4 -1 4 -2 4",48,1,128
95,1,"1 2 4 4 -2 -1 2 4 4 -2 4 4",24,1,256
96,1,"1 2 -1 4 -2 4 4 2 4 4 4 -2",24,1,-256
97,1,"1 2 3 -1 4 4 4 -3 4 4 4 -2",48,1,-256
98,1,"1 2 3 4 -3 4 4 -1 -2 4 4 4",48,1,0
99,1,"1 2 4 4 3 4 -1 -2 4 4 -3 4",24,1,0
100,1,"1 2 2 4 -1 -2 4 4 -2 4 4 4",24,1,0
101,1,"1 2 4 -2 -1 -2 4 4 2 4 4 4",24,1,256
102,1,"1 2 4 -2 -1 -2 4 4 4 4 4 2",24,1,512
103,1,"1 4 4 2 -1 4 4 -2 4 2 4 -2",24,1,0
104,1,"1 2 4 4 -2 4 2 4 -2 -1 4 4",24,1,256
105,1,"1 4 -1 4 4 4 4 4 2 4 -2 -4",24,1,0
106,1,"1 1 4 -1 4 -1 4 1 4 -1 4 4",6,1,256
107,1,"1 2 4 4 -2 4 -1 2 4 4 4 -2",24,1,256
108,1,"1 4 2 2 4 4 -1 4 -2 -2 4 4",12,1,512
109,1,"1 2 3 4 4 -3 -1 4 4 -2 4 4",48,1,256
110,1,"1 2 4 -2 4 -1 4 4 2 4 4 -2",24,1,0
111,1,"1 4 2 -1 4 4 -2 4 2 4 -2 4",24,1,128
112,1,"1 2 4 4 4 -2 4 2 -1 4 4 -2",24,1,-256
113,1,"1 2 4 -1 4 -2 4 -2 4 4 4 2",24,1,256
114,1,"1 4 2 4 4 2 -1 4 -2 4 4 -2",12,1,0
115,1,"1 2 4 4 -2 -2 4 -1 4 4 4 2",24,1,512
116,1,"1 2 3 -1 4 4 -2 -3 4 4 4 4",48,1,0
117,1,"1 2 4 -1 -2 4 2 4 4 -2 4 4",24,1,0
118,1,"1 2 4 -2 4 4 -2 -1 4 4 2 4",24,1,256
119,1,"1 2 4 3 -1 4 4 -3 -2 4 4 4",48,1,0
120,1,"1 2 4 -2 4 -1 3 4 4 -3 4 4",48,1,128
121,1,"1 2 4 -1 2 4 4 4 4 -2 -2 4",24,1,512
122,1,"1 2 4 -1 4 -2 3 4 4 -3 4 4",48,1,128
123,1,"1 2 3 4 4 -1 4 4 4 -2 -3 4",48,1,0
124,1,"1 2 4 4 3 -2 4 4 -3 -1 4 4",48,1,256
125,1,"1 2 4 -2 4 4 3 4 -1 -3 4 4",48,1,128
126,1,"1 4 1 4 -1 4 4 4 4 4 -1 -4",6,1,-512
127,1,"1 4 2 4 4 -2 -1 4 -2 4 4 2",12,1,0
128,1,"1 2 3 -1 4 4 -3 4 4 4 -2 4",48,1,0
129,1,"1 2 2 -1 4 4 4 4 -2 4 4 -2",24,1,-512
130,1,"1 2 4 3 -1 4 4 -2 4 -3 4 4",48,1,128
131,1,"1 2 4 -2 4 3 4 -3 -1 4 4 4",48,1,128
132,1,"1 2 4 3 4 -3 -2 4 -1 4 4 4",48,1,128
133,1,"1 2 -1 4 3 4 4 -3 4 4 -2 4",48,1,0
134,1,"1 4 1 4 4 4 4 -1 4 4 -1 -4",6,1,-512
135,1,"1 1 4 1 4 4 -1 4 4 -1 -1 4",6,1,512
136,1,"1 2 4 -2 4 -1 4 -2 4 4 2 4",24,1,128
137,1,"1 2 4 4 -2 -2 4 -1 2 4 4 4",24,1,512
138,1,"1 2 -1 4 -2 4 3 4 4 -3 4 4",48,1,0
139,1,"1 2 2 4 -1 4 4 4 4 -2 -2 4",24,1,512
140,1,"1 2 3 4 4 -2 4 -3 4 4 -1 4",48,1,128
141,1,"1 2 2 4 4 4 4 4 -2 -1 -2 4",24,1,512
142,1,"1 2 4 -1 4 -2 4 -2 4 4 2 4",24,1,128
143,1,"1 2 4 4 2 -1 4 4 -2 4 -2 4",24,1,0
144,1,"1 4 2 4 -2 4 -1 4 -2 4 2 4",12,1,128
145,1,"1 2 -1 4 -2 3 4 -3 4 4 4 4",48,1,0
146,1,"1 2 4 -2 4 4 4 -2 -1 4 2 4",24,1,256
147,1,"1 4 2 2 4 4 4 -1 4 -2 4 -2",24,1,256
148,1,"1 2 4 4 -1 2 4 4 4 -2 -2 4",24,1,512
149,1,"1 2 4 4 2 4 -2 -2 -1 4 4 4",24,1,512
150,1,"1 2 4 3 -2 4 4 -1 -3 4 4 4",48,1,0
151,1,"1 4 2 4 -2 4 4 4 4 4 -1 -4",24,1,-512
152,1,"1 2 2 -1 4 -2 4 4 4 4 4 -2",24,1,-512
153,1,"1 2 4 -2 4 -2 4 4 4 -1 4 2",24,1,256
154,1,"1 4 2 4 -2 -1 4 4 4 -2 4 2",24,1,0
155,1,"1 2 4 4 -1 4 -2 -2 4 4 4 2",24,1,512
156,1,"1 2 4 -1 4 2 4 -2 4 4 4 -2",24,1,0
157,1,"1 1 4 -1 -1 4 1 4 4 -1 4 4",6,1,512
158,1,"1 2 -1 4 -2 4 4 -2 4 4 2 4",24,1,0
159,1,"1 4 2 4 2 4 -2 -1 4 -2 4 4",24,1,128
160,1,"1 2 3 -2 4 4 4 4 -3 -1 4 4",48,1,256
161,1,"1 2 3 -2 4 -3 4 -1 4 4 4 4",48,1,0
162,1,"1 2 3 4 -1 4 4 -3 4 -2 4 4",48,1,128
163,1,"1 2 4 4 -2 -4 -1 4 4 4 4 4",24,1,512
164,1,"1 2 2 4 -2 -1 4 4 -2 4 4 4",24,1,512
165,1,"1 2 2 4 4 -2 4 4 4 -1 -2 4",24,1,0
166,1,"1 2 4 -1 4 4 4 4 2 4 -2 -2",24,1,0
167,1,"1 2 4 4 4 2 4 -1 4 4 -2 -2",24,1,0
168,1,"1 2 -1 4 4 4 -2 -2 4 2 4 4",24,1,0
169,1,"1 2 2 4 -2 -2 -1 4 4 4 4 4",24,1,1024
170,1,"1 2 3 4 4 4 -1 -3 4 4 4 -2",48,1,-256
171,1,"1 4 2 2 4 4 -2 -1 4 4 4 -2",24,1,512
172,1,"1 4 4 2 4 -1 4 4 2 4 -2 -2",24,1,256
173,1,"1 4 2 4 -1 4 4 4 2 4 -2 -2",24,1,256
174,1,"1 4 2 4 -2 -1 4 2 4 -2 4 4",24,1,128
175,1,"1 4 1 -4 -1 4 4 4 4 -1 4 4",6,1,-512
176,1,"1 4 -1 -4 2 4 4 4 4 -2 4 4",24,1,0
177,1,"1 2 3 4 4 -2 4 -1 4 -3 4 4",48,1,128
178,1,"1 2 4 2 4 -2 -2 -1 4 4 4 4",24,1,512
179,1,"1 2 4 -1 4 3 4 -3 4 4 -2 4",48,1,128
180,1,"1 2 2 4 4 4 4 -2 -2 4 -1 4",24,1,512
181,1,"1 2 4 4 4 4 -2 -2 4 2 -1 4",24,1,0
182,1,"1 2 4 4 -2 3 4 4 -3 -1 4 4",16,1,0
183,1,"1 4 2 2 4 4 -2 4 -1 4 -2 4",24,1,256
184,1,"1 2 3 -1 4 4 4 4 4 4 -3 -2",48,1,-512
185,1,"1 4 4 -1 4 4 4 2 4 4 -2 -4",24,1,0
186,1,"1 2 2 4 4 4 4 -1 4 4 -2 -2",24,1,0
187,1,"1 4 2 4 2 -1 4 -2 4 4 -2 4",24,1,128
188,1,"1 2 4 -1 3 4 4 -2 -3 4 4 4",48,1,0
189,1,"1 4 1 4 4 4 4 4 -1 -4 -1 4",6,1,512
190,1,"1 2 -1 -2 4 4 4 4 4 2 4 -2",24,1,-512
191,1,"1 2 4 4 4 2 -1 4 -2 -2 4 4",24,1,0
192,1,"1 4 4 2 4 2 -1 4 4 4 -2 -2",24,1,0
193,1,"1 2 2 -1 -2 4 4 -2 4 4 4 4",24,1,-512
194,1,"1 4 2 -1 4 -2 4 4 -2 4 2 4",24,1,128
195,1,"1 2 3 -1 -2 -3 4 4 4 4 4 4",48,1,-512
196,1,"1 2 4 3 4 4 -2 4 -3 4 -1 4",48,1,128
197,1,"1 2 3 4 -1 -3 4 -2 4 4 4 4",48,1,0
198,1,"1 2 4 -2 3 4 4 -3 4 -1 4 4",48,1,128
199,1,"1 2 4 -2 4 -1 3 4 4 4 -3 4",48,1,128
200,1,"1 4 -1 4 4 4 4 -1 4 4 1 -4",6,1,512
201,1,"1 4 -1 4 4 4 2 -4 -2 4 4 4",24,1,-512
202,1,"1 1 4 -1 -1 4 4 1 4 4 -1 4",6,1,512
203,1,"1 2 4 2 4 -1 4 -2 4 -2 4 4",24,1,128
204,1,"1 2 4 -2 4 4 -1 4 4 2 4 -2",24,1,0
205,1,"1 2 3 4 -1 -2 4 4 4 -3 4 4",48,1,0
206,1,"1 2 4 2 -1 4 -2 4 4 -2 4 4",24,1,0
207,1,"1 2 3 4 -2 -1 4 4 4 -3 4 4",48,1,256
208,1,"1 2 4 3 -2 4 -1 4 4 -3 4 4",48,1,128
209,1,"1 2 4 -1 4 -2 3 4 4 4 -3 4",48,1,128
210,1,"1 2 4 4 -2 -2 4 2 -1 4 4 4",24,1,0
211,1,"1 2 4 4 4 4 4 4 -2 4 -1 -4",24,1,-512
212,1,"1 2 -4 -2 4 -1 4 4 4 4 4 4",24,1,-512
213,1,"1 2 4 -1 4 4 4 4 -2 -2 4 2",24,1,512
214,1,"1 2 4 -2 4 -2 -1 4 4 4 2 4",24,1,256
215,1,"1 2 4 -2 4 4 3 4 -1 4 -3 4",48,1,128
216,1,"1 4 -1 4 4 2 -4 -2 4 4 4 4",24,1,-512
217,1,"1 2 -1 2 4 4 4 4 4 -2 -2 4",24,1,512
218,1,"1 2 4 -2 -2 4 -1 4 2 4 4 4",24,1,256
219,1,"1 2 3 4 -2 4 4 4 -1 -3 4 4",48,1,0
220,1,"1 2 4 3 -1 4 4 -2 4 4 -3 4",48,1,128
221,1,"1 2 4 4 4 -2 -2 4 2 -1 4 4",24,1,0
222,1,"1 1 -4 -1 4 4 4 4 4 -1 4 4",6,1,-1024
223,1,"1 2 4 -2 -2 4 -1 4 4 4 4 2",24,1,512
224,1,"1 4 2 2 4 4 -1 4 4 4 -2 -2",24,1,512
225,1,"1 4 2 4 -2 4 -1 4 2 4 4 -2",24,1,128
226,1,"1 2 4 3 4 -3 4 4 -2 4 -1 4",48,1,128
227,1,"1 2 4 4 -2 4 4 4 -2 -1 4 2",24,1,256
228,1,"1 2 4 -1 3 4 -3 4 -2 4 4 4",48,1,128
229,1,"1 2 2 4 4 4 -2 4 -1 4 4 -2",24,1,0
230,1,"1 2 -1 4 -2 4 3 4 4 4 -3 4",48,1,0
231,1,"1 2 4 4 -1 4 3 4 -3 4 -2 4",48,1,128
232,1,"1 2 4 -2 4 4 2 -1 4 4 4 -2",24,1,-256
233,1,"1 2 -1 4 4 4 3 4 -3 -2 4 4",48,1,0
234,1,"1 4 -1 4 4 4 4 2 -4 -2 4 4",24,1,-512
235,1,"1 2 -1 4 4 3 -2 4 4 -3 4 4",48,1,0
236,1,"1 2 -1 4 4 4 4 3 4 -2 -3 4",48,1,0
237,1,"1 2 -1 4 4 4 -2 4 -2 4 2 4",24,1,0
238,1,"1 2 2 4 4 4 4 4 -1 -2 4 -2",24,1,-512
239,1,"1 2 3 4 4 4 4 -1 4 -3 -2 4",48,1,256
240,1,"1 4 -1 4 4 4 4 -1 -4 1 4 4",6,1,-512
241,1,"1 2 -1 -2 4 -2 4 2 4 4 4 4",24,1,-256
242,1,"1 2 -1 4 -2 -2 4 2 4 4 4 4",24,1,0
243,1,"1 2 4 4 -1 4 -2 4 4 -2 4 2",24,1,256
244,1,"1 2 4 3 4 4 -3 -2 4 4 -1 4",48,1,128
245,1,"1 2 2 4 4 -1 4 -2 -2 4 4 4",24,1,512
246,1,"1 2 4 4 4 2 4 -2 -2 -1 4 4",24,1,512
247,1,"1 4 2 2 4 -1 4 4 -2 -2 4 4",24,1,512
248,1,"1 4 4 2 2 -1 4 4 4 -2 -2 4",24,1,512
249,1,"1 2 4 -2 -1 4 4 4 3 4 -3 4",48,1,256
250,1,"1 2 4 -1 4 2 4 -2 4 -2 4 4",24,1,128
251,1,"1 2 -1 4 3 -2 -3 4 4 4 4 4",48,1,0
252,1,"1 2 4 -2 4 4 -1 -2 4 2 4 4",12,1,0
253,1,"1 2 4 -1 -2 4 4 4 3 4 -3 4",48,1,0
254,1,"1 2 4 4 -2 4 -2 -1 2 4 4 4",24,1,256
255,1,"1 2 4 -2 -2 4 2 4 -1 4 4 4",24,1,256
256,1,"1 4 2 4 4 -2 4 -2 -1 4 4 2",24,1,0
257,1,"1 2 3 4 -1 4 4 4 4 -3 -2 4",48,1,256
258,1,"1 1 4 -1 4 1 4 -1 -1 4 4 4",6,1,512
259,1,"1 1 4 1 4 -1 4 4 -1 -1 4 4",6,1,512
260,1,"1 2 -1 4 4 4 4 -2 -2 4 4 2",24,1,512
261,1,"1 4 -1 4 4 2 2 4 -2 4 -2 4",24,1,256
262,1,"1 2 4 4 2 4 -2 4 4 -1 4 -2",24,1,0
263,1,"1 4 2 4 2 -1 4 4 4 -2 4 -2",24,1,0
264,1,"1 2 3 4 4 -2 4 -1 4 4 -3 4",48,1,128
265,1,"1 2 4 3 4 -2 4 -3 -1 4 4 4",48,1,128
266,1,"1 2 4 2 -1 -2 4 4 4 4 4 -2",24,1,-512
267,1,"1 2 4 -2 -1 4 4 4 4 -2 4 2",24,1,256
268,1,"1 2 4 -2 4 4 -2 4 -1 4 4 2",24,1,256
269,1,"1 2 4 3 4 -3 4 -2 4 -1 4 4",48,1,128
270,1,"1 2 4 -1 -2 4 4 4 4 -2 4 2",24,1,256
271,1,"1 2 4 2 4 4 4 -1 4 -2 -2 4",24,1,256
272,1,"1 4 2 4 2 4 4 -1 4 4 -2 -2",24,1,256
273,1,"1 2 3 -1 4 4 -3 4 4 4 4 -2",48,1,-256
274,1,"1 2 -1 4 2 4 4 4 4 -2 4 -2",24,1,-256
275,1,"1 2 -1 4 4 -2 -2 4 2 4 4 4",24,1,0
276,1,"1 2 3 4 -3 -2 4 4 -1 4 4 4",48,1,256
277,1,"1 2 3 4 4 -3 4 4 4 -2 -1 4",48,1,256
278,1,"1 4 2 4 -2 4 -2 -1 4 2 4 4",24,1,128
279,1,"1 2 3 4 -2 -3 -1 4 4 4 4 4",48,1,256
280,1,"1 1 4 4 4 4 -1 -4 -1 4 4 4",6,1,1024
281,1,"1 2 4 2 4 -2 -1 4 4 -2 4 4",24,1,256
282,1,"1 2 4 -1 4 -2 4 2 4 4 4 -2",24,1,0
283,1,"1 2 4 -1 4 4 4 -2 4 -2 4 2",24,1,256
284,1,"1 4 1 4 4 -1 -4 -1 4 4 4 4",6,1,512
285,1,"1 2 -1 4 4 4 4 2 4 -2 4 -2",24,1,-256
286,1,"1 2 4 4 2 4 -1 4 4 -2 4 -2",24,1,0
287,1,"1 2 4 2 4 -1 4 4 4 -2 4 -2",24,1,0
288,1,"1 2 4 2 4 -1 4 4 -2 4 -2 4",24,1,128
289,1,"1 2 4 4 -2 -2 4 4 -1 4 2 4",24,1,256
290,1,"1 4 4 -1 4 4 4 1 4 4 -1 -4",6,1,-512
291,1,"1 2 2 4 4 4 -1 4 -2 4 -2 4",24,1,256
292,1,"1 2 4 -2 4 -2 -1 2 4 4 4 4",24,1,256
293,1,"1 4 -1 4 4 2 2 4 4 -2 -2 4",24,1,512
294,1,"1 2 -1 4 2 4 4 -2 4 -2 4 4",24,1,0
295,1,"1 2 3 4 -1 -2 4 4 4 4 -3 4",48,1,0
296,1,"1 2 4 3 -1 4 -3 4 -2 4 4 4",48,1,128
297,1,"1 2 4 3 -2 4 -1 4 4 4 -3 4",48,1,128
298,1,"1 2 3 4 -2 -1 4 4 4 4 -3 4",48,1,256
299,1,"1 2 4 3 4 4 -1 4 -3 -2 4 4",48,1,128
300,1,"1 2 4 -2 4 -1 4 3 4 -3 4 4",48,1,128
301,1,"1 4 2 4 -1 -4 -2 4 4 4 4 4",24,1,0
302,1,"1 2 -1 -2 4 4 4 2 4 4 -2 4",24,1,-256
303,1,"1 2 4 4 4 -2 -2 4 4 -1 4 2",24,1,512
304,1,"1 2 3 4 4 -1 4 4 -3 -2 4 4",48,1,256
305,1,"1 2 -1 4 3 4 -2 -3 4 4 4 4",48,1,0
306,1,"1 2 -1 2 4 -2 4 -2 4 4 4 4",24,1,256
307,1,"1 2 4 -1 4 -2 4 3 4 -3 4 4",48,1,128
308,1,"1 2 -4 -1 4 4 4 4 -2 4 4 4",24,1,-512
309,1,"1 2 2 4 4 4 -2 -1 -2 4 4 4",24,1,512
310,1,"1 2 3 4 -2 4 4 4 -1 4 -3 4",48,1,128
311,1,"1 4 4 1 -4 -1 4 4 4 -1 4 4",6,1,-512
312,1,"1 4 2 4 4 -2 4 2 4 -2 -1 4",24,1,128
313,1,"1 4 2 4 -1 4 4 -2 4 2 4 -2",24,1,128
314,1,"1 2 -1 4 3 4 -3 4 4 4 -2 4",48,1,0
315,1,"1 2 4 4 -2 -1 -2 4 4 4 2 4",24,1,256
316,1,"1 4 2 4 4 4 -1 -4 -2 4 4 4",24,1,0
317,1,"1 2 -1 4 -2 -2 4 4 4 4 2 4",24,1,0
318,1,"1 2 -1 4 4 -2 4 -2 4 4 4 2",24,1,256
319,1,"1 2 2 4 4 -2 -1 4 4 4 -2 4",24,1,512
320,1,"1 2 -1 4 -2 4 4 3 4 -3 4 4",48,1,0
321,1,"1 4 2 -1 4 -2 4 4 2 4 -2 4",24,1,128
322,1,"1 4 2 4 -2 4 2 -1 4 4 -2 4",24,1,128
323,1,"1 2 3 4 4 -2 -3 4 4 4 -1 4",48,1,0
324,1,"1 2 3 4 4 4 -3 -1 4 -2 4 4",48,1,256
325,1,"1 2 4 -2 4 2 -1 4 4 -2 4 4",24,1,0
326,1,"1 2 3 4 -3 -1 4 4 4 4 -2 4",48,1,256
327,1,"1 2 -1 4 4 3 -2 4 4 4 -3 4",48,1,0
328,1,"1 2 4 3 4 -1 4 -3 4 4 -2 4",48,1,128
329,1,"1 1 1 4 4 -1 -1 4 4 4 -1 4",6,1,1024
330,1,"1 2 4 4 4 -2 -1 -2 4 4 4 2",12,1,512
331,1,"1 2 4 2 4 -2 4 4 4 -1 4 -2",24,1,0
332,1,"1 2 3 4 -3 4 4 4 -1 4 -2 4",48,1,128
333,1,"1 2 4 -1 4 4 4 -2 4 2 4 -2",24,1,0
334,1,"1 2 -1 4 4 3 4 4 -3 4 -2 4",48,1,0
335,1,"1 1 1 4 4 4 -1 4 -1 4 -1 4",6,1,512
336,1,"1 1 4 1 4 -1 4 -1 4 4 -1 4",6,1,256
337,1,"1 2 4 -1 4 2 4 4 -2 4 -2 4",24,1,128
338,1,"1 4 2 4 -2 4 2 4 4 -2 -1 4",24,1,128
339,1,"1 2 2 4 4 -2 4 -1 4 -2 4 4",24,1,256
340,1,"1 2 4 4 -2 4 -1 4 3 4 -3 4",48,1,128
341,1,"1 2 4 -2 -2 4 4 4 -1 2 4 4",24,1,512
342,1,"1 2 4 4 -2 4 2 4 -1 4 4 -2",24,1,0
343,1,"1 4 2 4 -1 4 -2 4 2 4 4 -2",24,1,128
344,1,"1 2 2 4 4 -1 -2 4 4 4 -2 4",24,1,0
345,1,"1 4 2 2 4 -1 4 -2 4 4 4 -2",24,1,256
346,1,"1 2 4 4 4 4 4 -2 -4 -1 4 4",24,1,512
347,1,"1 2 -1 4 4 2 4 4 4 4 -2 -2",24,1,-512
348,1,"1 2 4 4 -2 -2 4 4 4 2 -1 4",24,1,0
349,1,"1 4 2 2 4 -2 -1 4 -2 4 4 4",24,1,256
350,1,"1 2 3 4 4 4 4 -3 4 4 -1 -2",48,1,-256
351,1,"1 2 3 4 -1 4 -3 4 4 -2 4 4",48,1,128
352,1,"1 2 4 4 3 4 -2 4 -3 -1 4 4",48,1,128
353,1,"1 2 4 4 3 4 -3 4 -2 4 -1 4",48,1,128
354,1,"1 2 -1 4 4 -2 4 4 2 4 -2 4",24,1,0
355,1,"1 2 -1 -2 4 4 3 4 4 -3 4 4",48,1,-256
356,1,"1 2 -1 -4 -2 4 4 4 4 4 4 4",24,1,-1024
357,1,"1 2 -1 4 4 -2 -2 4 4 4 4 2",24,1,512
358,1,"1 2 2 4 4 4 -2 4 -2 4 -1 4",24,1,256
359,1,"1 2 -1 -2 4 3 4 -3 4 4 4 4",48,1,-256
360,1,"1 2 4 4 -1 2 4 4 4 -2 4 -2",24,1,256
361,1,"1 4 2 4 -2 4 4 2 -1 4 4 -2",24,1,0
362,1,"1 2 -1 4 4 4 3 -2 4 -3 4 4",48,1,0
363,1,"1 2 4 -1 4 4 -2 4 2 4 4 -2",24,1,0
364,1,"1 4 2 4 -2 -1 4 4 2 4 -2 4",24,1,128
365,1,"1 2 -1 4 4 2 4 4 -2 -2 4 4",24,1,0
366,1,"1 4 2 4 4 2 4 -2 -2 4 -1 4",24,1,256
