j,l,trajectory,M,S,D
81,1,"1 2 -1 4 4 3 4 -3 -3 -2 3 4",48,1,0
82,1,"1 2 -1 4 4 4 2 -4 -2 -2 4 4",24,1,0
83,1,"1 2 4 3 4 4 4 -3 4 -1 -2 -4",48,1,-256
84,1,"1 2 -1 4 4 3 3 -2 4 -3 -3 4",48,1,0
85,1,"1 2 3 4 4 -2 3 -1 -3 4 -3 4",48,1,0
86,1,"1 2 3 4 -1 4 2 -3 4 4 -2 -2",48,1,0
87,1,"1 2 3 4 4 -2 -1 -4 -3 4 4 4",48,1,-256
88,1,"1 2 1 -2 -1 4 4 2 -1 -2 4 4",24,1,256
89,1,"1 4 2 4 -2 4 2 -1 4 4 -2 -4",24,1,-128
90,1,"1 2 3 -1 -2 4 -3 4 3 4 4 -3",48,1,-128
91,1,"1 2 3 4 -2 -3 -1 -3 4 3 4 4",48,1,0
92,1,"1 2 3 2 -3 4 4 4 -1 -2 -2 4",48,1,0
93,1,"1 2 4 4 4 -2 -1 2 -4 -2 4 4",24,1,-256
94,1,"1 2 4 4 4 -2 4 -2 -4 -1 4 2",24,1,0
95,1,"1 2 3 4 3 4 -3 4 4 -1 -3 -2",48,1,-128
96,1,"1 4 2 4 -2 -2 -4 2 4 4 -1 4",24,1,-256
97,1,"1 2 -1 4 4 3 -2 -2 4 2 -3 4",48,1,0
98,1,"1 2 3 4 -2 4 -1 -2 4 2 -3 4",48,1,64
99,1,"1 2 4 4 -2 -2 -1 4 2 2 4 -2",24,1,256
100,1,"1 2 3 4 -1 3 4 -3 -2 4 4 -3",48,1,128
101,1,"1 2 4 4 3 -2 -3 4 3 -1 -3 4",48,1,-128
102,1,"1 2 4 -1 4 3 3 4 -2 4 -3 -3",48,1,128
103,1,"1 2 3 4 3 4 4 4 -3 -3 -1 -2",48,1,0
104,1,"1 2 4 3 4 -1 3 -2 -3 4 -3 4",48,1,-64
105,1,"1 4 2 2 -4 -2 4 4 -1 4 -2 4",24,1,-256
106,1,"1 2 4 2 -4 -1 -2 4 4 4 4 -2",24,1,-256
107,1,"1 2 3 2 4 -1 4 4 -2 -3 -2 4",48,1,128
108,1,"1 2 2 4 -2 4 -2 -1 4 -2 4 2",24,1,128
109,1,"1 2 2 -1 4 -2 1 4 -2 -1 4 4",24,1,0
110,1,"1 2 3 3 -2 4 4 4 -3 4 -1 -3",48,1,-256
111,1,"1 2 -1 -2 4 -2 4 -1 4 1 2 4",24,1,-128
112,1,"1 2 1 2 4 -1 -1 4 4 -2 4 -2",24,1,0
113,1,"1 2 1 4 4 -2 4 2 -1 -1 -2 4",24,1,0
114,1,"1 2 -1 -4 -2 4 4 4 4 -2 4 2",24,1,-256
115,1,"1 2 4 3 4 3 4 -3 -3 -1 -2 4",48,1,0
116,1,"1 2 -1 4 3 4 -3 -2 4 -2 4 2",48,1,64
117,1,"1 2 3 -2 3 4 4 4 -1 4 -3 -3",48,1,0
118,1,"1 2 3 4 -3 4 -3 -2 -1 4 4 3",48,1,128
119,1,"1 2 4 4 3 -2 3 4 -3 -3 -1 4",48,1,128
120,1,"1 2 -4 2 4 4 -2 4 -1 4 -2 4",24,1,128
