j,l,trajectory,M,S,D
1305,1,"1 2 2 3 -2 4 4 -3 -2 4 -1 4",48,1,128
1306,1,"1 2 1 -2 -2 -1 4 4 4 -1 2 4",24,1,-256
1307,1,"1 2 4 4 3 -1 -3 4 3 -2 -3 4",48,1,128
1308,1,"1 1 -4 1 4 -1 4 4 -1 4 -1 4",6,1,256
1309,1,"1 2 3 4 3 -1 4 4 -3 -2 4 -3",48,1,0
1310,1,"1 2 -1 -1 4 -2 1 2 4 4 4 -2",24,1,-256
1311,1,"1 2 -1 4 2 4 -2 -1 4 4 -2 1",24,1,0
1312,1,"1 2 4 3 4 2 -3 4 -2 -1 -2 4",48,1,64
1313,1,"1 2 2 4 4 4 4 -2 -1 -4 -2 4",24,1,0
1314,1,"1 2 2 3 -2 4 -2 4 -3 4 -1 4",48,1,0
1315,1,"1 2 3 4 -3 4 3 -1 4 -3 4 -2",48,1,-64
1316,1,"1 2 3 4 -2 -3 4 2 4 -1 4 -2",48,1,0
1317,1,"1 2 3 4 4 -3 -2 4 -2 -1 2 4",48,1,128
1318,1,"1 2 3 4 -3 -1 4 4 -3 -2 4 3",48,1,128
1319,1,"1 2 4 4 4 3 3 -2 -3 -3 -1 4",48,1,256
1320,1,"1 2 3 4 4 3 4 -1 -3 4 -2 -3",48,1,-128
1321,1,"1 2 4 3 4 3 -1 -3 -2 4 4 -3",48,1,-128
1322,1,"1 2 3 3 4 -2 4 -3 4 -3 -1 4",48,1,128
1323,1,"1 2 3 4 -1 -3 4 -3 4 4 3 -2",48,1,0
1324,1,"1 2 3 4 -1 3 4 -3 -3 4 -2 4",48,1,128
1325,1,"1 2 3 -2 -4 -1 -3 4 4 4 4 4",48,1,-256
1326,1,"1 2 -1 -2 4 -2 4 3 4 2 -3 4",48,1,-64
1327,1,"1 2 4 4 3 4 -3 -2 4 4 -1 -4",48,1,-128
1328,1,"1 2 3 -2 -3 4 -1 -3 4 4 3 4",48,1,-128
1329,1,"1 1 1 4 4 4 -1 4 4 -1 -1 -4",6,1,-1024
1330,1,"1 2 4 3 3 4 -2 4 4 -1 -3 -3",48,1,0
1331,1,"1 2 4 2 -4 -2 -2 4 4 4 -1 4",24,1,-256
1332,1,"1 2 4 3 4 -3 -2 4 4 3 -1 -3",48,1,0
1333,1,"1 2 3 4 -3 4 -3 -1 -2 4 4 3",48,1,0
1334,1,"1 2 3 4 4 -2 -2 -1 4 -3 4 2",48,1,128
1335,1,"1 2 4 2 4 4 4 4 -2 -1 -2 -4",24,1,-256
1336,1,"1 2 -4 2 4 4 4 -2 -2 4 -1 4",24,1,256
1337,1,"1 4 2 4 -2 4 2 -4 -2 4 -1 4",24,1,-128
1338,1,"1 2 1 -2 4 4 2 4 -1 4 -1 -2",24,1,128
1339,1,"1 2 3 -2 4 -3 -1 4 -3 4 4 3",48,1,128
1340,1,"1 2 1 -2 4 2 -1 -1 4 -2 4 4",24,1,256
1341,1,"1 2 3 4 -2 4 -3 -3 4 4 -1 3",48,1,128
1342,1,"1 2 4 3 4 -1 -3 -3 4 -2 3 4",48,1,0
1343,1,"1 2 3 4 4 -1 2 4 -3 4 -2 -2",48,1,128
1344,1,"1 2 -1 -2 4 -2 -2 4 2 4 4 2",24,1,0
1345,1,"1 2 4 1 -2 4 -2 -1 4 -1 2 4",24,1,0
1346,1,"1 2 3 4 3 4 -1 -3 4 -3 -2 4",48,1,0
1347,1,"1 2 3 4 -3 4 -1 -2 4 -2 4 2",48,1,64
1348,1,"1 2 4 4 2 -4 -1 4 4 -2 -2 4",24,1,-256
1349,1,"1 2 -1 -2 4 -2 4 2 4 -2 4 2",24,1,0
1350,1,"1 2 3 4 4 -3 -1 4 -3 4 3 -2",48,1,0
1351,1,"1 2 -1 4 2 3 -2 4 4 -3 4 -2",48,1,0
1352,1,"1 2 4 -1 4 4 3 -4 -3 4 -2 4",48,1,-128
1353,1,"1 2 4 4 -1 4 4 -2 4 2 -4 -2",24,1,0
1354,1,"1 2 4 2 -1 4 2 4 -2 -2 4 -2",24,1,-128
1355,1,"1 2 3 -2 -3 -1 4 4 4 -3 4 3",48,1,128
1356,1,"1 2 -1 4 -2 3 3 4 -3 4 -3 4",48,1,0
1357,1,"1 2 2 4 -2 -2 -1 2 4 4 -2 4",24,1,256
1358,1,"1 2 -1 -1 -2 1 4 2 4 4 -2 4",24,1,-256
1359,1,"1 2 4 4 3 3 4 -2 -3 -1 4 -3",48,1,128
1360,1,"1 2 3 4 2 4 -3 4 4 -2 -1 -2",48,1,0
1361,1,"1 2 4 -2 -4 -1 4 4 4 -2 4 2",24,1,0
1362,1,"1 2 2 1 4 -2 -1 4 -2 -1 4 4",24,1,0
1363,1,"1 2 2 -4 -2 4 -2 -1 4 4 4 4",24,1,-512
1364,1,"1 2 3 4 -1 -2 4 4 3 4 -3 -3",48,1,0
1365,1,"1 2 4 4 -1 4 4 -2 4 -2 -4 2",24,1,-256
1366,1,"1 2 3 3 -2 -3 4 4 4 -1 4 -3",48,1,-256
1367,1,"1 2 -1 -2 4 -1 4 -2 4 2 4 1",24,1,-128
1368,1,"1 2 -1 4 -2 4 2 -1 4 -2 4 1",24,1,-128
1369,1,"1 2 3 -1 3 4 -2 -3 4 4 -3 4",48,1,0
1370,1,"1 2 3 -1 4 4 4 4 4 -3 -4 -2",48,1,-256
1371,1,"1 2 4 4 3 -1 -4 -3 -2 4 4 4",48,1,-256
1372,1,"1 2 1 2 4 -1 4 4 -2 -1 -2 4",24,1,128
1373,1,"1 2 4 3 4 -3 -2 -1 4 -3 4 3",24,1,0
1374,1,"1 2 -1 -1 2 4 4 4 -2 -2 4 1",24,1,512
1375,1,"1 2 4 3 -1 -2 4 -3 -3 4 4 3",48,1,128
1376,1,"1 2 4 4 -2 4 4 -1 4 2 -4 -2",24,1,0
1377,1,"1 2 3 4 -2 -1 4 4 2 -3 4 -2",48,1,0
1378,1,"1 4 2 4 4 -2 -2 4 -1 4 2 -4",24,1,0
1379,1,"1 4 4 4 2 4 -2 4 2 -1 -4 -2",24,1,-256
1380,1,"1 2 2 2 4 -1 -2 4 4 -2 4 -2",24,1,-256
1381,1,"1 2 1 4 2 -1 -2 4 -2 -1 4 4",24,1,128
1382,1,"1 2 4 3 4 4 4 -3 -2 3 -1 -3",48,1,128
1383,1,"1 1 4 4 -1 -1 -4 1 4 -1 4 4",6,1,-512
1384,1,"1 2 -1 4 1 2 -1 4 -2 -2 4 4",24,1,-256
1385,1,"1 2 4 4 2 4 4 4 -2 -2 -1 -4",24,1,-512
1386,1,"1 4 2 4 2 4 -2 -4 -2 4 -1 4",24,1,128
1387,1,"1 2 3 3 4 4 4 -3 -1 -2 -3 4",48,1,0
1388,1,"1 2 -1 4 3 2 -3 4 4 -2 4 -2",48,1,0
1389,1,"1 2 -1 4 3 4 2 4 4 -3 -2 -2",48,1,-128
1390,1,"1 2 -1 2 4 4 3 4 -2 -3 4 -2",48,1,0
1391,1,"1 4 2 4 4 -2 4 2 4 -2 -1 -4",24,1,-128
1392,1,"1 2 3 3 -1 4 4 -2 -3 4 -3 4",48,1,0
1393,1,"1 2 4 4 3 4 -1 4 -3 4 -2 -4",48,1,-128
1394,1,"1 2 2 2 4 -2 -2 -1 4 4 -2 4",24,1,512
1395,1,"1 2 3 3 4 -3 -1 4 -3 4 -2 4",48,1,128
1396,1,"1 4 2 4 2 4 -2 -1 -4 -2 4 4",24,1,128
1397,1,"1 2 4 4 4 -2 3 3 4 -3 -1 -3",48,1,256
1398,1,"1 2 3 4 -2 4 -1 2 4 -3 4 -2",48,1,64
1399,1,"1 2 3 3 4 4 -3 -2 -3 4 -1 4",48,1,128
1400,1,"1 2 3 4 4 -3 4 -1 2 4 -2 -2",48,1,128
1401,1,"1 2 4 4 -1 4 4 2 4 -2 -4 -2",24,1,0
1402,1,"1 2 4 -1 3 -2 4 4 3 4 -3 -3",48,1,0
1403,1,"1 2 3 4 4 -2 3 4 -3 4 -1 -3",48,1,0
1404,1,"1 2 -1 2 2 4 4 -2 4 -2 4 -2",24,1,0
1405,1,"1 2 4 4 3 4 -3 -2 -3 4 -1 3",48,1,0
1406,1,"1 1 -4 -1 4 -1 4 4 1 4 -1 4",6,1,-256
1407,1,"1 2 4 3 -1 3 -2 -3 4 4 4 -3",48,1,-128
1408,1,"1 4 2 2 4 -2 -4 -1 4 -2 4 4",24,1,0
1409,1,"1 2 3 -2 -1 4 -2 -3 4 2 4 4",48,1,0
1410,1,"1 2 3 4 4 -2 -3 4 -3 4 -1 3",48,1,128
1411,1,"1 2 -1 4 3 -2 3 4 4 -3 4 -3",48,1,0
1412,1,"1 4 -1 4 4 4 2 4 4 -2 -4 -4",24,1,0
1413,1,"1 2 4 4 3 3 -2 -3 4 -1 -3 4",48,1,-128
1414,1,"1 2 3 3 -1 -3 -3 4 -2 4 4 4",48,1,-256
1415,1,"1 2 3 4 -1 3 4 4 -3 4 -3 -2",48,1,128
1416,1,"1 2 4 4 3 3 4 -1 -3 4 -2 -3",48,1,0
1417,1,"1 2 -1 4 4 3 4 2 -3 -2 -2 4",48,1,0
1418,1,"1 2 3 3 -2 4 4 4 -1 -3 -3 4",48,1,-256
1419,1,"1 2 4 -1 4 -2 -2 3 4 2 -3 4",48,1,0
1420,1,"1 2 3 2 4 -3 -2 -1 -2 4 4 4",48,1,128
1421,1,"1 2 3 -2 -2 -1 4 4 2 -3 4 4",48,1,0
1422,1,"1 4 2 2 4 -1 4 2 4 -2 -2 -2",24,1,256
1423,1,"1 2 -1 4 3 -2 -3 4 3 4 -3 4",48,1,0
1424,1,"1 2 3 3 4 -1 4 4 -3 -3 4 -2",48,1,0
1425,1,"1 2 3 4 -1 3 4 4 -2 4 -3 -3",48,1,128
1426,1,"1 4 2 4 4 -1 -4 2 4 -2 4 -2",24,1,128
1427,1,"1 2 2 -1 -1 -2 4 4 4 -2 1 4",24,1,-512
1428,1,"1 2 -1 4 -2 3 4 2 -3 -2 4 4",48,1,0
1429,1,"1 2 3 4 4 4 4 4 -3 -2 -1 -4",48,1,-512
1430,1,"1 2 3 4 3 4 -1 4 4 -3 -2 -3",48,1,0
1431,1,"1 4 1 4 -1 4 4 4 4 -1 -4 -4",6,1,-512
1432,1,"1 2 3 4 4 -3 -2 -3 -1 4 4 3",48,1,128
1433,1,"1 2 -1 4 2 4 -1 4 -2 4 -2 1",24,1,-128
1434,1,"1 2 4 4 4 4 -2 -2 4 -1 -4 2",24,1,0
1435,1,"1 2 3 3 -2 4 -3 -1 4 4 4 -3",48,1,0
1436,1,"1 2 3 4 4 4 -3 -2 4 -3 -1 3",48,1,-128
1437,1,"1 2 4 -1 3 4 -3 -3 4 3 -2 4",48,1,0
1438,1,"1 2 3 4 -2 -2 4 2 -3 4 -1 4",48,1,128
1439,1,"1 2 2 4 -2 -4 -2 4 4 -1 4 4",24,1,256
1440,1,"1 2 3 3 4 -1 4 4 -2 4 -3 -3",48,1,0
1441,1,"1 2 4 3 4 4 -1 3 -2 -3 4 -3",48,1,-128
1442,1,"1 2 1 -2 -1 4 -1 2 4 -2 4 4",24,1,-128
1443,1,"1 2 1 4 -1 -1 2 4 -2 4 4 -2",24,1,256
1444,1,"1 2 3 -1 -3 -3 -2 4 3 4 4 4",48,1,-256
1445,1,"1 2 4 4 4 -2 -4 -1 4 2 4 -2",24,1,256
1446,1,"1 2 2 4 -2 3 4 -3 -2 4 -1 4",48,1,0
1447,1,"1 2 1 -2 -2 4 4 -1 4 -1 2 4",24,1,0
1448,1,"1 2 3 4 2 -3 -2 -1 4 4 4 -2",48,1,128
1449,1,"1 2 -1 4 3 4 -2 -3 2 4 4 -2",48,1,0
1450,1,"1 4 4 2 4 4 2 -1 -4 -2 -2 4",24,1,-256
1451,1,"1 2 3 -2 -4 -3 -1 4 4 4 4 4",48,1,-256
1452,1,"1 2 1 4 -1 -2 4 -2 -1 4 2 4",24,1,128
1453,1,"1 2 -1 -2 -2 -2 4 2 4 4 2 4",24,1,-256
1454,1,"1 2 3 2 -1 4 -2 4 -2 -3 4 4",48,1,0
1455,1,"1 2 -1 4 -2 -2 1 4 2 -1 4 4",24,1,-256
1456,1,"1 2 2 4 -2 1 4 4 -2 -1 -1 4",24,1,256
1457,1,"1 2 3 4 3 -2 4 4 4 -3 -1 -3",48,1,-128
1458,1,"1 2 4 3 3 -1 -3 -2 4 4 -3 4",48,1,-128
1459,1,"1 2 2 4 -2 3 -2 4 -3 4 -1 4",48,1,128
1460,1,"1 2 4 -1 3 3 4 4 -2 4 -3 -3",48,1,256
1461,1,"1 2 -1 -2 4 3 -2 -3 2 4 4 4",48,1,128
1462,1,"1 4 2 -1 -4 -2 4 4 4 2 4 -2",24,1,-256
1463,1,"1 2 3 4 -3 4 -2 4 -1 -2 4 2",48,1,64
1464,1,"1 2 3 3 4 4 4 -2 -3 -1 -3 4",48,1,0
1465,1,"1 2 4 -1 -2 4 -2 3 4 2 -3 4",48,1,0
1466,1,"1 2 3 -2 4 4 -3 4 4 4 -1 -4",48,1,0
1467,1,"1 2 3 4 2 4 -1 -2 4 -2 -3 4",48,1,-64
1468,1,"1 2 3 -2 -4 -1 4 4 -3 4 4 4",48,1,0
1469,1,"1 2 4 4 4 4 -2 -2 4 -1 2 -4",24,1,0
1470,1,"1 2 -1 4 -1 -2 4 1 -2 4 2 4",24,1,0
1471,1,"1 2 2 3 -2 -2 -3 4 -1 4 4 4",48,1,-256
1472,1,"1 2 4 -2 -1 4 4 3 -4 -3 4 4",48,1,-256
1473,1,"1 2 2 4 4 4 4 4 -1 -2 -2 -4",24,1,-1024
1474,1,"1 2 -1 -2 4 2 2 4 -2 4 4 -2",24,1,-256
1475,1,"1 2 4 -2 4 -2 -4 -1 2 4 4 4",24,1,0
1476,1,"1 2 4 4 -1 -4 2 4 -2 -2 4 4",24,1,256
1477,1,"1 2 4 3 4 -2 -3 -2 4 2 -1 4",48,1,0
1478,1,"1 2 3 -2 4 4 4 -1 4 4 -3 -4",48,1,-256
1479,1,"1 2 3 4 -3 -2 4 4 3 -1 -3 4",48,1,0
1480,1,"1 2 -1 4 -1 -2 4 -2 1 4 2 4",24,1,-128
1481,1,"1 2 4 2 4 -2 4 4 -1 4 -2 -4",24,1,-128
1482,1,"1 2 1 2 -1 -2 4 4 -1 -2 4 4",24,1,-256
1483,1,"1 2 4 3 4 4 -3 -1 4 3 -2 -3",48,1,-128
1484,1,"1 2 2 4 3 4 -3 4 -1 -2 4 -2",48,1,-128
1485,1,"1 2 3 4 -3 4 4 -1 2 4 -2 -2",48,1,128
1486,1,"1 2 -1 4 3 -2 -3 4 4 -2 4 2",48,1,0
1487,1,"1 2 3 4 4 -2 3 4 -3 -3 -1 4",48,1,128
1488,1,"1 2 4 -1 3 4 -3 4 -3 4 -2 3",48,1,0
1489,1,"1 2 -1 4 2 4 3 -2 -2 4 -3 4",48,1,0
1490,1,"1 2 4 3 4 3 -2 4 4 -3 -1 -3",48,1,0
1491,1,"1 2 -4 -2 -2 4 4 -1 4 2 4 4",24,1,-256
1492,1,"1 2 3 2 4 -1 -2 4 4 -3 4 -2",48,1,-128
1493,1,"1 4 2 -4 -2 4 -2 4 4 2 -1 4",24,1,-128
1494,1,"1 4 -1 4 4 2 4 -2 -4 2 4 -2",24,1,-128
1495,1,"1 2 4 3 4 3 -2 -3 4 -3 -1 4",48,1,64
1496,1,"1 2 3 -1 4 4 4 4 4 -2 -3 -4",48,1,-512
1497,1,"1 2 2 4 -2 -2 4 2 -1 4 -2 4",24,1,0
1498,1,"1 2 4 3 -2 4 4 -3 -3 4 -1 3",48,1,128
1499,1,"1 2 4 3 4 2 -3 -2 4 -2 -1 4",48,1,0
1500,1,"1 2 -1 -1 2 4 4 4 4 -2 -2 1",24,1,0
1501,1,"1 2 1 4 4 2 -1 4 -2 -1 4 -2",24,1,128
1502,1,"1 2 3 4 -1 -3 -2 4 -3 4 3 4",48,1,0
1503,1,"1 4 -1 4 4 2 4 2 -4 -2 4 -2",24,1,-128
1504,1,"1 2 3 3 4 -3 -2 4 4 -1 4 -3",48,1,128
1505,1,"1 2 -1 4 3 -2 -3 -3 4 4 4 3",48,1,256
1506,1,"1 4 4 2 4 -2 -1 4 4 -2 -4 2",24,1,0
1507,1,"1 2 3 2 -1 -2 -2 -3 4 4 4 4",48,1,-256
1508,1,"1 2 4 3 2 4 -2 -1 4 -3 -2 4",48,1,64
1509,1,"1 2 4 4 3 -1 -4 -3 4 4 -2 4",48,1,-128
1510,1,"1 2 3 -2 -2 -3 2 -1 4 4 4 4",48,1,0
1511,1,"1 2 2 3 4 4 -1 -2 4 -3 4 -2",48,1,-128
1512,1,"1 2 2 2 4 4 -2 -2 -1 -2 4 4",24,1,512
1513,1,"1 2 1 4 -2 -1 -1 2 4 4 -2 4",24,1,0
1514,1,"1 4 2 4 4 -1 4 -2 -4 2 4 -2",24,1,-128
1515,1,"1 4 2 4 -2 4 2 -1 -4 -2 4 4",24,1,-128
1516,1,"1 2 3 4 4 4 -2 3 -1 -3 4 -3",48,1,-128
1517,1,"1 2 4 3 -1 -3 4 -3 4 -2 4 3",48,1,64
1518,1,"1 4 4 2 2 4 4 4 -2 -2 -1 -4",24,1,-512
1519,1,"1 2 3 3 4 4 -3 -3 -2 4 -1 4",48,1,256
1520,1,"1 2 4 -2 3 4 4 3 -1 4 -3 -3",48,1,128
1521,1,"1 2 -1 -2 -2 4 4 2 4 2 4 -2",24,1,-256
1522,1,"1 2 3 4 -3 4 -1 -3 4 4 -2 3",48,1,0
1523,1,"1 2 -4 2 4 4 4 4 -1 4 -2 -2",24,1,0
1524,1,"1 4 2 -4 2 4 -2 4 4 -2 -1 4",24,1,128
1525,1,"1 2 3 3 -2 -3 4 -3 -1 4 4 4",48,1,0
1526,1,"1 2 3 4 -3 4 -1 4 -3 -2 3 4",48,1,64
1527,1,"1 2 4 4 3 -2 -3 -1 -3 4 4 3",48,1,128
1528,1,"1 2 3 4 -2 -1 -2 4 -3 4 2 4",48,1,64
1529,1,"1 2 3 3 4 4 -1 -2 -3 4 -3 4",48,1,-128
1530,1,"1 2 4 3 4 -2 4 -1 -4 -3 4 4",48,1,0
1531,1,"1 2 2 2 -1 -2 4 4 -2 -2 4 4",24,1,-512
1532,1,"1 4 -1 4 4 2 4 -2 -4 -2 4 2",24,1,128
1533,1,"1 2 -1 -1 4 4 4 2 1 -2 4 -2",24,1,256
1534,1,"1 2 4 -1 2 4 -2 -2 -1 4 4 1",24,1,256
1535,1,"1 2 4 3 4 4 -3 -3 -1 3 -2 4",48,1,-128
1536,1,"1 2 -1 -2 -2 4 -2 4 4 4 2 2",24,1,0
1537,1,"1 2 -1 -2 4 -2 4 4 2 -1 4 1",24,1,-256
1538,1,"1 2 3 4 -1 3 4 -2 4 -3 4 -3",48,1,64
1539,1,"1 2 2 -1 4 4 -2 -1 4 -2 4 1",24,1,256
1540,1,"1 2 3 3 4 -3 4 -3 -1 4 4 -2",48,1,128
1541,1,"1 2 3 4 -2 -1 4 4 -3 -3 4 3",48,1,256
1542,1,"1 2 3 -2 4 -3 4 4 4 4 -1 -4",48,1,0
1543,1,"1 2 3 3 -2 -3 -3 4 4 4 -1 4",48,1,-256
1544,1,"1 2 3 4 4 -3 -2 4 2 -1 4 -2",48,1,-128
1545,1,"1 2 2 -1 -4 -2 -2 4 4 4 4 4",24,1,-1024
1546,1,"1 2 3 -1 -3 4 -2 3 4 -3 4 4",48,1,-128
1547,1,"1 2 3 -2 -3 -3 4 4 4 4 -1 3",48,1,256
1548,1,"1 2 3 -2 -2 4 4 -1 2 -3 4 4",48,1,0
1549,1,"1 2 1 4 -1 2 -1 4 4 -2 -2 4",24,1,256
1550,1,"1 2 2 3 -2 4 -1 4 4 -2 -3 4",48,1,-128
1551,1,"1 2 4 -2 4 -1 2 -4 -2 4 4 4",24,1,-256
1552,1,"1 2 3 -2 4 -3 2 4 4 -2 -1 4",48,1,-128
1553,1,"1 4 4 -1 -4 2 2 4 4 -2 4 -2",24,1,256
1554,1,"1 4 -1 -4 2 2 4 4 -2 -2 4 4",24,1,0
1555,1,"1 2 3 4 3 4 -3 -2 4 4 -1 -3",48,1,0
1556,1,"1 2 4 3 2 4 -3 4 -2 -1 -2 4",48,1,64
1557,1,"1 4 4 4 2 2 4 -1 -4 -2 4 -2",24,1,-256
1558,1,"1 2 3 4 -2 -3 4 2 -1 4 4 -2",48,1,0
1559,1,"1 2 3 4 -3 -1 4 -3 4 -2 4 3",48,1,64
1560,1,"1 2 2 4 -2 4 -1 -1 4 -2 1 4",24,1,0
1561,1,"1 2 4 3 4 -1 -3 4 4 4 -2 -4",48,1,-128
1562,1,"1 2 3 4 -2 4 -3 2 4 -1 4 -2",48,1,0
1563,1,"1 2 3 4 4 4 -2 4 -1 -4 -3 4",48,1,-128
1564,1,"1 2 3 2 4 4 4 -3 -2 4 -1 -2",48,1,-128
1565,1,"1 4 1 -4 -1 4 4 4 4 4 -1 -4",6,1,512
1566,1,"1 2 2 3 4 -2 4 -3 4 -1 -2 4",48,1,0
1567,1,"1 2 3 -1 4 4 3 4 -2 -3 4 -3",48,1,-128
1568,1,"1 2 4 -2 4 3 3 4 -3 -3 -1 4",48,1,128
1569,1,"1 2 3 -2 -4 -3 4 4 -1 4 4 4",48,1,-256
1570,1,"1 2 1 4 4 2 4 -2 -1 4 -1 -2",24,1,128
1571,1,"1 2 3 2 4 4 -2 4 -3 4 -1 -2",48,1,-128
1572,1,"1 2 4 2 2 -1 -2 4 -2 4 4 -2",24,1,-256
1573,1,"1 2 3 3 4 -3 -3 4 4 -1 4 -2",48,1,0
1574,1,"1 2 4 3 4 -3 -2 -3 4 3 -1 4",48,1,64
1575,1,"1 2 4 3 -2 4 -3 4 -2 -1 2 4",48,1,64
1576,1,"1 2 3 4 4 -1 -3 -3 4 -2 3 4",48,1,0
1577,1,"1 2 -1 -2 4 -1 4 2 4 4 -2 1",24,1,-256
1578,1,"1 2 2 4 -1 4 3 -2 4 -3 4 -2",48,1,0
1579,1,"1 2 4 -2 4 4 -2 -2 -1 4 2 2",24,1,256
1580,1,"1 2 3 4 3 4 4 -3 -2 -3 -1 4",48,1,128
1581,1,"1 2 4 -1 4 2 4 4 -2 4 -2 -4",24,1,-128
1582,1,"1 2 1 2 -1 -1 4 4 4 -2 4 -2",24,1,-256
1583,1,"1 2 1 4 -1 4 -1 -2 4 2 4 -2",24,1,0
1584,1,"1 2 -4 2 -1 4 4 -2 -2 4 4 4",24,1,0
1585,1,"1 2 3 4 3 4 -3 -2 -3 -1 4 4",48,1,128
1586,1,"1 2 3 4 -2 4 4 2 -3 4 -1 -2",48,1,-128
1587,1,"1 2 -4 -1 4 4 2 4 4 -2 -2 4",24,1,-256
1588,1,"1 2 4 4 -2 -1 -4 2 4 4 -2 4",24,1,0
1589,1,"1 2 2 -1 2 4 4 -2 4 4 -2 -2",24,1,0
1590,1,"1 2 1 -2 4 -1 2 4 4 -1 4 -2",24,1,128
1591,1,"1 2 3 4 3 4 4 -3 -3 4 -1 -2",48,1,-128
1592,1,"1 2 2 -4 -1 4 -2 -2 4 4 4 4",24,1,-512
1593,1,"1 2 2 -4 -2 4 4 4 4 -1 4 -2",24,1,0
1594,1,"1 2 4 -2 4 -2 -4 -1 4 4 2 4",24,1,128
1595,1,"1 2 1 4 -2 -1 4 4 2 -1 -2 4",24,1,128
1596,1,"1 2 4 3 -2 4 3 -1 -3 4 4 -3",48,1,-128
1597,1,"1 2 -1 4 3 -2 -2 -3 4 4 4 2",48,1,0
1598,1,"1 2 3 4 -1 4 4 4 4 -3 -2 -4",48,1,-256
1599,1,"1 4 -1 -4 -1 4 4 4 4 4 1 -4",6,1,512
1600,1,"1 2 4 -2 -4 -1 4 3 4 4 -3 4",48,1,128
1601,1,"1 2 2 3 4 4 -3 -2 4 -1 -2 4",48,1,0
1602,1,"1 2 4 4 -1 4 -2 4 4 -2 -4 2",24,1,-256
1603,1,"1 2 3 3 -2 -3 4 4 4 -1 -3 4",48,1,-256
1604,1,"1 2 3 -1 -3 4 4 -2 -3 4 4 3",48,1,128
1605,1,"1 2 -1 4 3 -4 -3 4 -2 4 4 4",48,1,0
1606,1,"1 2 2 -1 -2 4 3 4 4 -3 -2 4",48,1,-128
1607,1,"1 2 4 -2 3 -1 4 3 4 -3 4 -3",48,1,64
1608,1,"1 2 1 4 -2 4 -1 2 4 -1 -2 4",24,1,128
1609,1,"1 4 2 4 4 -2 -2 -1 4 4 2 -4",24,1,-256
1610,1,"1 2 1 2 4 4 -1 4 -2 4 -1 -2",24,1,-128
1611,1,"1 2 3 -2 4 4 -3 -1 -3 4 3 4",48,1,0
1612,1,"1 2 -1 4 3 -2 4 3 4 -3 -3 4",48,1,0
1613,1,"1 4 2 2 4 4 -2 -4 -2 4 -1 4",24,1,256
1614,1,"1 2 -1 -2 4 1 -2 -1 2 4 4 4",24,1,256
1615,1,"1 2 3 4 -3 4 -3 4 -1 4 -2 3",48,1,64
1616,1,"1 2 4 2 -4 -2 4 -1 4 4 4 -2",24,1,0
1617,1,"1 2 3 4 -3 -2 4 2 4 -2 -1 4",48,1,128
1618,1,"1 2 4 3 4 3 -2 4 -3 -3 -1 4",48,1,128
1619,1,"1 2 4 3 4 4 4 -1 -2 -4 -3 4",48,1,0
1620,1,"1 2 2 2 4 -2 -2 -1 4 -2 4 4",24,1,512
1621,1,"1 2 4 -2 -1 4 4 -2 -4 2 4 4",24,1,-256
1622,1,"1 2 -1 4 4 2 -1 4 -2 -2 1 4",24,1,-256
1623,1,"1 2 4 -1 -2 -4 2 4 4 4 -2 4",24,1,0
1624,1,"1 2 -1 4 3 4 4 4 3 -2 -3 -3",48,1,-256
1625,1,"1 2 3 2 -1 -2 -2 4 4 -3 4 4",48,1,-256
1626,1,"1 2 3 3 4 -2 -3 -3 -1 4 4 4",48,1,256
1627,1,"1 2 3 4 -1 4 -3 4 2 4 -2 -2",48,1,0
1628,1,"1 2 4 4 -1 4 2 4 4 -2 -4 -2",24,1,0
1629,1,"1 2 3 4 -1 4 3 -2 -3 -3 4 4",48,1,-128
1630,1,"1 2 2 4 4 -2 4 4 4 -2 -1 -4",24,1,-512
1631,1,"1 2 1 -2 -1 4 4 2 4 -1 4 -2",24,1,128
1632,1,"1 2 2 4 -1 -2 4 4 -2 -1 4 1",24,1,256
1633,1,"1 2 2 1 4 4 -2 -1 4 -1 -2 4",24,1,256
1634,1,"1 2 4 -2 3 4 -2 -1 4 -3 4 2",48,1,64
1635,1,"1 2 2 -1 4 -2 4 4 -2 -2 4 2",24,1,256
1636,1,"1 2 4 4 3 -1 -3 4 -3 4 -2 3",48,1,0
1637,1,"1 2 2 -1 4 4 -1 4 -2 -2 4 1",24,1,0
1638,1,"1 4 2 -4 2 4 -2 -2 4 -1 4 4",24,1,256
1639,1,"1 2 3 2 4 -3 4 -1 4 -2 4 -2",48,1,0
1640,1,"1 1 4 -1 -4 -1 4 4 1 4 -1 4",6,1,256
1641,1,"1 2 -1 4 4 -2 -4 -2 4 4 4 2",24,1,256
1642,1,"1 4 -1 -4 2 4 4 4 2 4 -2 -2",24,1,256
1643,1,"1 2 3 4 -3 -3 -2 4 -1 4 4 3",48,1,128
1644,1,"1 4 2 -4 2 -1 4 4 4 4 -2 -2",24,1,0
1645,1,"1 2 3 4 -3 -2 -1 4 4 3 4 -3",48,1,128
1646,1,"1 4 2 2 4 4 -2 4 -1 -4 -2 4",24,1,0
1647,1,"1 2 2 -1 4 4 -2 -2 4 -1 4 1",24,1,0
1648,1,"1 2 3 3 4 -3 -2 -3 -1 4 4 4",48,1,256
1649,1,"1 2 4 4 -2 4 4 4 -2 -1 2 -4",24,1,-256
1650,1,"1 2 1 -2 4 4 4 -1 4 2 -1 -2",24,1,0
