j,l,trajectory,M,S,D
1,1,"1 2 4 -2 4 -2 -1 2 4 4",24,1,64
2,1,"1 4 2 4 -2 -2 -1 4 4 2",24,1,0
3,1,"1 2 -1 -2 4 3 4 4 -3 4",48,1,-64
4,1,"1 2 4 2 4 4 -2 -1 4 -2",24,1,64
5,1,"1 4 2 -1 4 4 -2 -2 4 2",24,1,128
6,1,"1 2 3 -2 4 -1 -3 4 4 4",48,1,-64
7,1,"1 2 3 4 4 -3 -2 -1 4 4",24,1,128
8,1,"1 1 4 1 4 -1 -1 4 -1 4",3,1,128
9,1,"1 2 4 2 -1 -2 4 -2 4 4",24,1,-64
10,1,"1 2 4 -2 -2 4 2 4 -1 4",24,1,64
11,1,"1 4 2 2 4 -2 4 -2 -1 4",24,1,64
12,1,"1 2 2 4 4 -1 4 -2 -2 4",24,1,128
13,1,"1 1 4 4 4 4 -1 4 -1 -4",6,1,-256
14,1,"1 2 4 4 -2 -2 -1 4 4 2",24,1,128
15,1,"1 2 3 4 4 -2 4 -3 -1 4",48,1,64
16,1,"1 2 4 4 -2 4 2 -1 4 -2",24,1,-64
17,1,"1 4 -1 4 4 -1 4 4 1 -4",6,1,128
18,1,"1 2 -1 2 4 -2 -2 4 4 4",24,1,128
19,1,"1 2 4 3 4 -1 -3 4 -2 4",24,1,32
20,1,"1 2 3 4 -1 -3 4 -2 4 4",48,1,0
21,1,"1 2 4 -2 -2 4 2 -1 4 4",24,1,0
22,1,"1 2 -1 -2 4 -2 4 2 4 4",24,1,-64
23,1,"1 4 2 2 4 -1 4 4 -2 -2",24,1,128
24,1,"1 2 4 -2 -2 4 4 -1 4 2",24,1,128
25,1,"1 2 -1 4 3 4 -2 -3 4 4",48,1,0
26,1,"1 1 4 1 4 -1 4 -1 -1 4",6,1,128
27,1,"1 2 -1 4 4 -2 4 -2 4 2",24,1,64
28,1,"1 2 4 -2 4 -1 2 4 -2 4",12,1,64
29,1,"1 2 3 4 4 -1 -2 -3 4 4",24,1,-64
30,1,"1 2 3 -1 4 4 -2 4 -3 4",48,1,0
31,1,"1 2 4 3 4 -2 -1 4 -3 4",24,1,64
32,1,"1 2 4 4 -1 4 4 4 -2 -4",24,1,-128
33,1,"1 4 2 -1 4 -2 4 2 4 -2",24,1,0
34,1,"1 4 -1 4 1 -4 -1 4 4 4",6,1,-128
35,1,"1 4 -1 4 4 4 -1 4 1 -4",6,1,128
36,1,"1 2 -1 4 -2 -2 4 4 4 2",24,1,128
37,1,"1 2 4 4 2 -1 4 -2 4 -2",24,1,-64
38,1,"1 1 4 -1 -4 -1 4 4 4 4",6,1,256
39,1,"1 2 4 -2 -1 -2 4 4 2 4",24,1,64
40,1,"1 2 3 4 -2 -1 4 4 -3 4",48,1,64
41,1,"1 1 4 4 -1 4 4 4 -1 -4",6,1,-256
42,1,"1 2 -1 -2 4 4 2 4 -2 4",24,1,-64
43,1,"1 2 2 4 4 4 -1 4 -2 -2",24,1,0
44,1,"1 2 3 -2 -1 4 4 -3 4 4",48,1,0
45,1,"1 2 -1 4 3 4 -3 4 -2 4",48,1,0
46,1,"1 2 -1 2 4 -2 4 -2 4 4",24,1,64
47,1,"1 2 4 -2 -2 4 -1 4 2 4",24,1,64
48,1,"1 2 3 4 4 -1 -3 4 -2 4",48,1,0
49,1,"1 2 4 3 4 -2 4 -1 -3 4",48,1,32
50,1,"1 2 3 4 -3 4 -1 4 4 -2",48,1,0
51,1,"1 4 2 2 -1 4 -2 4 -2 4",24,1,64
52,1,"1 2 -1 4 3 -2 4 -3 4 4",48,1,0
53,1,"1 2 -4 -2 4 -1 4 4 4 4",24,1,-128
54,1,"1 4 2 4 4 -2 -4 -1 4 4",24,1,0
55,1,"1 2 3 -1 4 -2 4 4 -3 4",48,1,0
56,1,"1 2 2 4 -1 -2 4 -2 4 4",24,1,0
57,1,"1 2 4 3 4 -1 -2 4 -3 4",24,1,0
58,1,"1 2 -1 2 4 -2 4 4 4 -2",24,1,0
59,1,"1 2 3 -1 4 4 4 4 -3 -2",48,1,-128
60,1,"1 2 4 -1 4 4 -2 -2 4 2",24,1,128
61,1,"1 2 3 4 -3 4 4 4 -1 -2",48,1,-64
62,1,"1 2 3 4 4 -2 -1 4 -3 4",48,1,64
63,1,"1 2 4 4 4 4 -2 4 -1 -4",24,1,-128
64,1,"1 2 3 4 -1 4 4 -2 -3 4",48,1,0
65,1,"1 2 -1 2 4 -2 4 4 -2 4",24,1,64
66,1,"1 2 4 2 -1 -2 4 4 4 -2",24,1,-128
67,1,"1 2 3 -1 -3 4 4 -2 4 4",48,1,-64
68,1,"1 2 2 4 -2 4 4 -1 4 -2",24,1,0
69,1,"1 4 2 -1 4 2 4 -2 4 -2",24,1,0
70,1,"1 2 3 4 -3 4 4 -1 4 -2",48,1,0
71,1,"1 2 -1 4 4 -2 3 4 -3 4",48,1,0
72,1,"1 1 1 4 4 -1 -1 4 -1 4",6,1,256
73,1,"1 2 2 4 -1 -2 4 4 4 -2",24,1,-128
74,1,"1 4 2 2 -1 4 -2 4 4 -2",24,1,0
75,1,"1 4 1 4 4 4 -1 -4 -1 4",6,1,128
76,1,"1 2 4 4 2 -1 4 4 -2 -2",24,1,-128
77,1,"1 2 -4 -2 4 4 4 -1 4 4",24,1,-128
78,1,"1 2 2 4 -2 4 4 -1 -2 4",24,1,0
79,1,"1 1 4 4 -1 -4 -1 4 4 4",6,1,256
80,1,"1 1 1 4 4 -1 -1 -1 4 4",3,1,512
81,1,"1 2 2 4 -1 -2 4 4 -2 4",24,1,0
82,1,"1 2 3 4 -1 -2 -3 4 4 4",48,1,-64
83,1,"1 2 2 4 4 -2 -1 -2 4 4",24,1,128
84,1,"1 2 3 -1 -3 4 4 4 4 -2",48,1,-128
85,1,"1 2 4 -1 2 4 -2 -2 4 4",24,1,128
86,1,"1 2 4 -1 4 -2 -2 4 2 4",24,1,64
87,1,"1 2 3 4 4 -2 4 -1 -3 4",48,1,0
88,1,"1 2 -1 4 -2 4 4 -2 4 2",24,1,64
89,1,"1 2 4 -2 -2 -1 2 4 4 4",24,1,128
90,1,"1 2 -4 -2 4 4 -1 4 4 4",24,1,-128
91,1,"1 2 3 -1 -3 4 4 4 -2 4",48,1,-64
92,1,"1 2 3 4 -1 4 4 -3 -2 4",48,1,64
93,1,"1 1 1 4 4 -1 4 -1 -1 4",6,1,256
94,1,"1 2 -1 -2 4 2 4 -2 4 4",24,1,-64
95,1,"1 2 -1 4 -2 4 -2 4 4 2",24,1,64
96,1,"1 2 -1 4 3 4 -2 4 -3 4",48,1,0
97,1,"1 2 4 -2 -2 -1 4 4 4 2",24,1,128
98,1,"1 2 3 -1 4 4 -3 4 4 -2",48,1,-64
99,1,"1 2 4 3 -2 4 -3 4 -1 4",48,1,32
100,1,"1 2 2 4 4 -2 -1 4 4 -2",24,1,128
101,1,"1 4 2 2 4 -2 -1 4 -2 4",24,1,64
102,1,"1 2 3 4 4 -1 -2 4 -3 4",48,1,0
103,1,"1 4 1 4 -1 -4 -1 4 4 4",6,1,128
104,1,"1 4 2 4 -2 -1 4 2 4 -2",12,1,64
105,1,"1 2 4 3 -2 4 -3 -1 4 4",48,1,64
106,1,"1 2 2 4 4 -2 -1 4 -2 4",24,1,128
107,1,"1 2 4 -2 4 2 -1 4 -2 4",24,1,0
108,1,"1 4 2 -1 4 -2 -2 4 2 4",24,1,64
109,1,"1 2 -1 4 -2 3 4 -3 4 4",48,1,0
110,1,"1 2 3 4 -1 -3 4 4 -2 4",48,1,0
111,1,"1 2 3 -1 -2 4 -3 4 4 4",48,1,-64
