j,l,trajectory,M,S,D
112,1,"1 2 3 4 -3 -1 4 4 4 -2",48,1,64
113,1,"1 4 2 2 -1 4 -2 -2 4 4",24,1,128
114,1,"1 2 3 -2 -1 4 4 4 -3 4",48,1,0
115,1,"1 2 3 4 4 4 -3 4 -1 -2",48,1,-64
116,1,"1 2 4 3 4 -3 4 -2 -1 4",48,1,64
117,1,"1 4 2 2 4 -2 -1 4 4 -2",24,1,128
118,1,"1 2 2 4 -2 4 -2 -1 4 4",24,1,128
119,1,"1 2 4 -1 4 -2 4 2 4 -2",24,1,0
120,1,"1 2 2 4 -1 -2 -2 4 4 4",24,1,0
121,1,"1 2 3 4 4 4 -3 -1 4 -2",48,1,64
122,1,"1 2 -1 4 3 -2 4 4 -3 4",48,1,0
123,1,"1 2 4 -1 -2 4 2 4 -2 4",24,1,0
124,1,"1 2 2 4 -2 -2 4 4 -1 4",24,1,128
125,1,"1 4 2 2 4 -1 4 -2 -2 4",12,1,128
126,1,"1 2 3 -1 -3 4 -2 4 4 4",48,1,-64
127,1,"1 2 3 -1 4 -3 4 -2 4 4",48,1,0
128,1,"1 2 3 4 -2 4 -3 4 -1 4",48,1,32
129,1,"1 2 4 -1 -2 4 4 2 4 -2",24,1,-64
130,1,"1 4 2 -1 4 -2 4 -2 4 2",24,1,64
131,1,"1 4 -1 4 4 1 -4 -1 4 4",6,1,-128
132,1,"1 1 4 -1 4 -1 -1 4 1 4",3,1,128
133,1,"1 2 2 4 4 -2 4 -2 -1 4",24,1,128
134,1,"1 2 4 2 4 -1 4 4 -2 -2",24,1,0
135,1,"1 2 4 -2 4 -1 4 -2 4 2",24,1,64
136,1,"1 2 3 4 -2 4 -3 -1 4 4",48,1,64
137,1,"1 2 3 4 -3 4 -2 4 -1 4",48,1,32
138,1,"1 2 3 4 4 -2 -3 -1 4 4",48,1,64
139,1,"1 2 2 4 4 4 -2 -1 4 -2",24,1,128
140,1,"1 2 4 -1 -2 4 2 4 4 -2",24,1,-64
141,1,"1 2 4 4 -2 4 -2 -1 4 2",24,1,64
142,1,"1 2 -1 4 2 4 -2 4 4 -2",24,1,-64
143,1,"1 2 4 -2 4 -1 -2 4 4 2",24,1,64
144,1,"1 4 4 2 2 -1 4 4 -2 -2",12,1,0
145,1,"1 2 3 4 -3 4 -2 -1 4 4",48,1,64
146,1,"1 2 2 4 4 4 -2 -1 -2 4",24,1,128
147,1,"1 2 4 -1 4 2 4 -2 -2 4",24,1,64
148,1,"1 2 4 -1 4 3 -2 4 -3 4",24,1,32
149,1,"1 2 -1 -2 -2 4 4 2 4 4",24,1,-128
150,1,"1 2 4 -2 4 -1 4 2 4 -2",24,1,0
151,1,"1 4 2 2 4 -1 4 -2 4 -2",24,1,64
152,1,"1 2 4 -2 -1 -2 4 4 4 2",24,1,128
153,1,"1 2 3 4 4 -3 4 -2 -1 4",48,1,64
154,1,"1 2 4 -1 2 4 4 -2 -2 4",24,1,128
155,1,"1 2 3 4 -3 -2 -1 4 4 4",48,1,128
156,1,"1 1 4 -1 -1 4 1 4 -1 4",6,1,128
157,1,"1 2 4 -2 -2 -1 4 4 2 4",24,1,128
158,1,"1 2 4 -2 4 -1 2 4 4 -2",24,1,64
159,1,"1 2 4 4 -1 4 -2 -2 4 2",24,1,128
160,1,"1 2 2 -1 -2 -2 4 4 4 4",24,1,-256
161,1,"1 2 4 4 4 4 4 -2 -1 -4",24,1,-256
162,1,"1 2 -1 2 4 4 4 -2 -2 4",24,1,128
163,1,"1 2 4 -2 4 -2 -1 4 2 4",24,1,64
164,1,"1 2 3 4 4 -1 -3 4 4 -2",48,1,-64
165,1,"1 2 4 -2 -1 2 4 4 4 -2",24,1,128
166,1,"1 2 4 -2 -1 4 4 -2 4 2",24,1,64
167,1,"1 2 -1 4 4 3 -2 -3 4 4",24,1,0
168,1,"1 2 2 -1 4 -2 4 -2 4 4",24,1,0
169,1,"1 2 3 4 -3 -2 4 4 -1 4",48,1,64
170,1,"1 2 4 4 2 4 -1 4 -2 -2",24,1,0
171,1,"1 2 3 -2 4 4 -1 -3 4 4",48,1,-64
172,1,"1 2 4 -2 -1 4 -2 4 4 2",24,1,64
173,1,"1 2 4 3 -1 4 -3 -2 4 4",48,1,0
174,1,"1 4 -1 4 4 2 4 4 -2 -4",24,1,0
175,1,"1 2 3 4 -3 -2 4 -1 4 4",48,1,64
176,1,"1 2 4 4 4 4 -1 -4 -2 4",24,1,-128
177,1,"1 2 -1 4 4 2 4 -2 -2 4",24,1,0
178,1,"1 2 -1 4 4 2 4 -2 4 -2",24,1,-64
179,1,"1 2 4 -2 4 2 4 -2 -1 4",24,1,64
180,1,"1 2 -1 4 -2 3 4 4 -3 4",48,1,0
181,1,"1 2 4 -2 -1 4 4 2 4 -2",24,1,64
182,1,"1 2 3 4 -2 -1 -3 4 4 4",48,1,0
183,1,"1 2 2 -1 4 -2 4 4 4 -2",24,1,-128
184,1,"1 2 -1 4 2 4 4 -2 -2 4",24,1,0
185,1,"1 2 3 -2 4 4 4 -3 -1 4",48,1,64
186,1,"1 2 4 -1 2 4 -2 4 -2 4",24,1,64
187,1,"1 2 3 -1 4 4 4 -2 -3 4",48,1,0
188,1,"1 2 -1 2 4 4 4 -2 4 -2",24,1,0
189,1,"1 2 4 2 -1 4 -2 -2 4 4",24,1,0
190,1,"1 2 4 -2 -1 4 2 4 4 -2",24,1,64
191,1,"1 2 3 -2 4 -3 -1 4 4 4",48,1,64
192,1,"1 2 -1 -2 4 2 4 4 -2 4",24,1,-64
193,1,"1 2 2 -1 4 -2 4 4 -2 4",24,1,0
194,1,"1 2 4 4 2 4 -2 -1 4 -2",24,1,64
195,1,"1 2 3 4 -3 -1 -2 4 4 4",48,1,64
196,1,"1 2 4 2 -1 -2 4 4 -2 4",24,1,-64
197,1,"1 2 4 4 4 2 -1 4 -2 -2",24,1,-128
198,1,"1 2 4 2 4 -1 -2 4 4 -2",24,1,-64
199,1,"1 2 4 4 -2 -1 4 2 4 -2",24,1,64
200,1,"1 2 4 2 -1 4 -2 4 -2 4",24,1,0
201,1,"1 2 -4 -1 4 4 4 4 -2 4",24,1,-128
202,1,"1 2 2 4 -1 4 4 -2 4 -2",24,1,0
203,1,"1 2 4 2 4 -2 -1 4 4 -2",24,1,64
204,1,"1 2 4 -2 4 -1 -2 4 2 4",12,1,0
205,1,"1 2 4 3 4 -2 -3 4 -1 4",48,1,32
206,1,"1 2 4 4 -2 -1 2 4 4 -2",12,1,128
207,1,"1 2 3 -1 4 -2 -3 4 4 4",48,1,0
208,1,"1 2 4 4 4 -2 -4 -1 4 4",24,1,128
209,1,"1 2 2 4 -2 4 -1 -2 4 4",24,1,0
210,1,"1 2 3 -2 4 -3 4 4 -1 4",48,1,0
211,1,"1 2 4 -1 -4 -2 4 4 4 4",24,1,-128
212,1,"1 2 4 -1 4 -2 4 -2 4 2",24,1,64
213,1,"1 2 4 -2 4 2 -1 -2 4 4",24,1,-64
214,1,"1 2 3 -2 4 -3 4 -1 4 4",48,1,0
215,1,"1 2 3 4 -1 4 4 -3 4 -2",48,1,0
216,1,"1 2 3 -1 4 4 4 -3 -2 4",48,1,0
217,1,"1 2 3 4 -1 4 -3 -2 4 4",48,1,64
218,1,"1 2 2 4 -2 -1 4 -2 4 4",24,1,128
219,1,"1 2 2 4 -2 4 -1 4 4 -2",24,1,0
220,1,"1 2 -1 -2 4 4 -2 4 2 4",24,1,-64
221,1,"1 2 4 3 4 -3 4 -1 -2 4",48,1,0
222,1,"1 2 3 4 4 -2 -3 4 -1 4",48,1,0
223,1,"1 2 2 4 -2 4 -1 4 -2 4",24,1,64
224,1,"1 2 2 4 4 4 -1 -2 4 -2",24,1,-128
225,1,"1 2 4 2 -1 4 -2 4 4 -2",24,1,-64
226,1,"1 2 4 2 4 -2 -1 4 -2 4",24,1,64
227,1,"1 2 -1 4 -2 4 2 4 -2 4",24,1,0
228,1,"1 2 3 4 -1 -3 4 4 4 -2",48,1,-64
229,1,"1 2 2 4 -2 -1 4 4 4 -2",24,1,128
230,1,"1 2 3 -1 4 -3 4 4 -2 4",48,1,0
231,1,"1 2 4 -2 4 -1 3 4 -3 4",24,1,32
232,1,"1 2 2 -1 4 -2 -2 4 4 4",24,1,0
233,1,"1 4 -1 4 4 -1 -4 1 4 4",6,1,-128
234,1,"1 2 4 2 4 4 -1 4 -2 -2",24,1,0
235,1,"1 2 3 -2 4 -1 4 -3 4 4",48,1,0
236,1,"1 2 2 4 -2 -1 4 4 -2 4",24,1,128
237,1,"1 2 2 4 4 -1 4 -2 4 -2",24,1,0
238,1,"1 2 3 4 4 -3 -1 4 -2 4",48,1,64
239,1,"1 2 2 4 -1 4 4 4 -2 -2",24,1,0
240,1,"1 2 -1 4 4 3 -2 4 -3 4",48,1,0
241,1,"1 2 4 -1 3 4 -3 -2 4 4",48,1,64
242,1,"1 2 -1 4 2 4 4 -2 4 -2",24,1,-64
243,1,"1 4 2 2 -1 4 4 -2 -2 4",24,1,128
244,1,"1 2 3 -2 4 4 -1 4 -3 4",48,1,0
245,1,"1 2 4 4 -2 -4 -1 4 4 4",24,1,128
246,1,"1 4 2 4 4 -2 4 4 -1 -4",24,1,-128
247,1,"1 1 -4 -1 4 4 -1 4 4 4",6,1,-256
248,1,"1 2 2 4 -1 4 -2 -2 4 4",24,1,128
249,1,"1 2 4 3 -1 4 -2 -3 4 4",48,1,64
250,1,"1 2 -1 -2 4 -2 4 4 2 4",24,1,-64
251,1,"1 2 -1 -2 4 4 3 4 -3 4",48,1,-64
252,1,"1 2 -1 2 4 4 -2 4 4 -2",24,1,0
253,1,"1 2 -1 4 3 4 4 -2 -3 4",48,1,0
254,1,"1 4 1 -4 -1 4 4 -1 4 4",6,1,-128
255,1,"1 4 -1 4 4 1 4 4 -1 -4",6,1,-128
256,1,"1 2 2 4 -2 4 4 -2 -1 4",24,1,128
257,1,"1 4 -1 -4 2 4 4 -2 4 4",24,1,0
258,1,"1 4 2 4 -2 -1 4 -2 4 2",12,1,0
259,1,"1 2 3 4 4 -1 4 -2 -3 4",48,1,0
260,1,"1 2 3 4 4 -3 4 -1 -2 4",48,1,0
261,1,"1 2 -1 2 4 4 -2 4 -2 4",24,1,64
262,1,"1 4 2 4 -1 4 2 4 -2 -2",24,1,64
263,1,"1 2 3 -2 -1 4 -3 4 4 4",48,1,0
264,1,"1 2 2 4 -1 4 -2 4 4 -2",24,1,0
265,1,"1 4 2 2 -1 4 4 -2 4 -2",24,1,0
266,1,"1 2 3 -2 4 4 4 -1 -3 4",48,1,-64
267,1,"1 2 4 4 -2 -2 -1 4 2 4",24,1,128
268,1,"1 2 2 -1 4 4 4 4 -2 -2",24,1,-256
269,1,"1 2 4 -1 -2 4 4 -2 4 2",24,1,64
270,1,"1 2 -1 4 3 -2 -3 4 4 4",48,1,0
271,1,"1 4 -1 4 1 4 4 4 -1 -4",6,1,-128
272,1,"1 2 -1 -2 -2 4 2 4 4 4",24,1,-128
273,1,"1 2 2 4 -1 4 -2 4 -2 4",24,1,64
274,1,"1 2 4 2 4 -2 4 -2 -1 4",24,1,64
275,1,"1 2 4 3 -1 4 -3 4 -2 4",48,1,32
276,1,"1 2 4 -1 -2 4 -2 4 4 2",24,1,64
277,1,"1 2 4 4 4 -2 -2 -1 4 2",24,1,128
278,1,"1 1 -4 -1 4 4 4 4 -1 4",6,1,-256
279,1,"1 4 2 4 -2 4 4 4 -1 -4",24,1,-128
280,1,"1 2 -1 -2 -2 4 4 4 4 2",24,1,0
281,1,"1 2 4 -2 4 -2 4 2 -1 4",24,1,0
282,1,"1 2 2 4 -2 -1 -2 4 4 4",24,1,128
283,1,"1 2 -1 4 3 4 4 -3 -2 4",48,1,0
284,1,"1 2 3 4 4 -1 4 -3 -2 4",48,1,64
285,1,"1 4 -1 4 4 2 -4 -2 4 4",24,1,-128
286,1,"1 2 4 -2 -1 4 2 4 -2 4",24,1,64
287,1,"1 2 4 -2 4 -2 -1 4 4 2",24,1,64
288,1,"1 2 2 4 4 -1 -2 -2 4 4",12,1,0
289,1,"1 2 3 4 -1 4 -2 -3 4 4",48,1,0
290,1,"1 2 3 4 -3 4 -1 -2 4 4",48,1,0
291,1,"1 2 4 -1 4 4 4 4 -2 -4",24,1,-128
292,1,"1 2 2 -1 -2 4 4 -2 4 4",24,1,-128
293,1,"1 4 2 -1 4 4 2 4 -2 -2",24,1,0
294,1,"1 1 -4 -1 4 4 4 -1 4 4",6,1,-256
295,1,"1 4 -1 -4 1 4 4 -1 4 4",6,1,-128
296,1,"1 2 -1 4 -2 -2 4 4 2 4",24,1,0
297,1,"1 2 4 2 4 -1 4 -2 4 -2",24,1,0
298,1,"1 2 4 2 -1 4 4 -2 -2 4",24,1,0
299,1,"1 2 4 2 4 -2 -1 -2 4 4",24,1,64
300,1,"1 2 2 4 -2 -2 4 -1 4 4",24,1,128
301,1,"1 2 4 2 4 -2 4 -1 4 -2",24,1,0
302,1,"1 4 2 -1 4 2 4 4 -2 -2",24,1,0
303,1,"1 4 1 -4 -1 4 4 4 -1 4",6,1,-128
304,1,"1 2 4 -2 -1 -2 4 2 4 4",24,1,64
305,1,"1 2 4 -2 4 2 -1 4 4 -2",24,1,-64
306,1,"1 2 4 -2 4 4 4 4 -1 -4",24,1,-128
307,1,"1 2 2 4 4 -1 -2 4 4 -2",24,1,-128
308,1,"1 2 3 4 -3 4 4 -2 -1 4",48,1,64
309,1,"1 2 2 -1 -2 4 4 4 4 -2",24,1,-256
310,1,"1 2 3 4 -1 -3 -2 4 4 4",48,1,0
311,1,"1 1 4 -1 4 4 4 4 -1 -4",6,1,-256
312,1,"1 4 2 4 4 -1 4 4 -2 -4",24,1,0
313,1,"1 2 -1 4 2 4 4 4 -2 -2",24,1,-128
314,1,"1 2 4 2 4 -2 -2 4 -1 4",24,1,64
315,1,"1 4 2 4 -2 -2 4 2 -1 4",24,1,64
316,1,"1 2 2 4 4 -1 -2 4 -2 4",24,1,0
317,1,"1 2 3 -2 4 -1 4 4 -3 4",48,1,0
318,1,"1 2 4 -2 -2 4 -1 2 4 4",24,1,128
319,1,"1 4 2 2 -1 4 4 4 -2 -2",24,1,0
320,1,"1 2 3 4 -1 4 -3 4 -2 4",48,1,32
321,1,"1 2 2 -1 -2 4 4 4 -2 4",24,1,-128
322,1,"1 2 2 -1 4 4 4 -2 4 -2",24,1,-128
323,1,"1 2 2 4 4 -2 -2 4 -1 4",24,1,128
324,1,"1 2 4 -2 -1 2 4 -2 4 4",24,1,64
325,1,"1 2 4 4 -2 -2 4 2 -1 4",24,1,0
326,1,"1 2 3 4 -1 -2 4 -3 4 4",48,1,0
327,1,"1 2 4 3 -1 4 4 -3 -2 4",48,1,0
328,1,"1 2 2 -1 4 4 4 -2 -2 4",24,1,0
329,1,"1 2 -4 -1 4 -2 4 4 4 4",24,1,-128
330,1,"1 2 -1 4 4 -2 -2 4 4 2",24,1,128
331,1,"1 2 -1 4 4 4 2 4 -2 -2",24,1,-128
332,1,"1 2 2 4 -2 4 -2 4 -1 4",24,1,64
333,1,"1 2 4 3 -1 4 -2 4 -3 4",48,1,32
334,1,"1 4 2 4 4 4 -2 -4 -1 4",24,1,0
335,1,"1 2 4 2 -1 4 4 -2 4 -2",24,1,-64
336,1,"1 2 4 -1 2 4 -2 4 4 -2",24,1,64
337,1,"1 4 2 4 4 4 -1 4 -2 -4",24,1,0
338,1,"1 2 -1 4 4 2 4 4 -2 -2",24,1,-128
339,1,"1 4 2 2 4 -2 -2 4 -1 4",24,1,128
340,1,"1 4 2 4 2 4 -2 -2 -1 4",24,1,64
341,1,"1 2 4 4 -2 -1 4 -2 4 2",24,1,64
342,1,"1 2 4 4 -1 -4 -2 4 4 4",24,1,-128
343,1,"1 2 3 -1 4 4 4 -3 4 -2",48,1,-64
344,1,"1 2 4 3 -2 4 4 -3 -1 4",48,1,64
345,1,"1 2 3 -1 4 4 -3 -2 4 4",48,1,0
346,1,"1 1 4 4 4 4 -1 -4 -1 4",6,1,256
347,1,"1 2 -1 -2 4 -2 4 4 4 2",24,1,0
348,1,"1 1 1 4 -1 4 -1 4 -1 4",6,1,128
349,1,"1 2 4 -2 -2 4 4 2 -1 4",24,1,0
350,1,"1 4 2 2 4 4 -2 -2 -1 4",24,1,128
351,1,"1 2 4 4 -2 -1 -2 4 4 2",12,1,128
352,1,"1 2 3 -2 -3 4 -1 4 4 4",48,1,-64
353,1,"1 2 4 4 4 4 -2 -4 -1 4",24,1,128
354,1,"1 2 3 4 4 4 -1 -3 4 -2",48,1,-64
355,1,"1 4 2 -1 4 2 4 -2 -2 4",24,1,64
356,1,"1 4 1 4 4 -1 -4 -1 4 4",6,1,128
357,1,"1 1 1 4 -1 4 -1 -1 4 4",6,1,256
358,1,"1 2 -1 -2 -2 4 4 4 2 4",24,1,-128
359,1,"1 4 2 4 4 -1 -4 -2 4 4",24,1,0
360,1,"1 2 -4 -1 4 4 4 -2 4 4",24,1,-128
361,1,"1 2 4 4 -2 -2 4 -1 4 2",24,1,128
362,1,"1 2 3 -1 -2 4 4 -3 4 4",48,1,-64
363,1,"1 2 -1 -2 4 2 4 4 4 -2",24,1,-128
364,1,"1 2 -1 -2 4 4 4 -2 4 2",24,1,0
365,1,"1 4 -1 4 4 2 2 4 -2 -2",24,1,128
366,1,"1 2 3 -1 4 -3 4 4 4 -2",48,1,-64
367,1,"1 2 3 -2 -3 4 4 4 -1 4",48,1,-64
368,1,"1 2 3 4 -3 -1 4 -2 4 4",48,1,64
369,1,"1 4 2 4 -1 -4 -2 4 4 4",24,1,0
370,1,"1 2 2 -1 -2 4 -2 4 4 4",24,1,-128
371,1,"1 2 3 4 -2 4 -1 -3 4 4",48,1,0
372,1,"1 1 1 4 -1 4 4 -1 -1 4",6,1,256
373,1,"1 2 -1 -2 4 4 -2 4 4 2",24,1,0
374,1,"1 2 -1 4 4 4 -2 -2 4 2",24,1,128
375,1,"1 2 4 -2 -1 2 4 4 -2 4",24,1,64
376,1,"1 2 3 -2 -3 4 4 -1 4 4",48,1,-64
377,1,"1 2 3 4 4 -3 -1 4 4 -2",48,1,64
378,1,"1 2 4 4 4 -2 4 4 -1 -4",24,1,-128
379,1,"1 2 -4 -1 4 4 -2 4 4 4",24,1,-128
380,1,"1 2 2 4 -1 4 4 -2 -2 4",24,1,128
381,1,"1 2 3 4 -1 4 -2 4 -3 4",48,1,32
382,1,"1 2 2 -1 4 4 -2 -2 4 4",24,1,0
383,1,"1 2 4 -1 4 2 4 -2 4 -2",24,1,0
384,1,"1 4 1 4 4 -1 4 4 -1 -4",6,1,-128
385,1,"1 4 -1 -4 -1 4 4 1 4 4",6,1,128
386,1,"1 2 -1 -2 4 4 4 2 4 -2",24,1,-128
387,1,"1 4 2 -4 -1 4 4 -2 4 4",24,1,0
388,1,"1 2 3 -1 -2 -3 4 4 4 4",48,1,-128
389,1,"1 2 4 -1 4 -2 3 4 -3 4",48,1,32
390,1,"1 2 3 4 -2 4 4 -3 -1 4",48,1,64
391,1,"1 4 2 4 -1 4 4 4 -2 -4",24,1,0
392,1,"1 2 -1 2 4 4 4 4 -2 -2",24,1,0
393,1,"1 2 -1 -2 4 4 2 4 4 -2",24,1,-128
394,1,"1 2 3 4 4 -3 4 4 -1 -2",48,1,-64
395,1,"1 2 3 4 -2 -3 -1 4 4 4",48,1,64
396,1,"1 2 2 -1 4 4 -2 4 4 -2",24,1,-128
397,1,"1 2 4 -1 -2 4 -2 4 2 4",24,1,0
398,1,"1 1 -4 -1 4 -1 4 4 4 4",6,1,-256
399,1,"1 4 -1 4 4 4 2 4 -2 -4",24,1,0
400,1,"1 2 -1 4 2 4 -2 -2 4 4",24,1,0
401,1,"1 2 2 4 4 4 -2 -2 -1 4",24,1,256
402,1,"1 2 3 4 4 -3 4 -1 4 -2",48,1,0
403,1,"1 2 -1 -2 4 3 4 -3 4 4",48,1,-64
404,1,"1 2 4 -2 3 4 -3 4 -1 4",48,1,32
405,1,"1 2 4 4 -1 4 2 4 -2 -2",24,1,0
406,1,"1 2 2 -1 4 4 -2 4 -2 4",24,1,0
407,1,"1 2 4 -2 4 -2 4 -1 4 2",24,1,64
