j,l,trajectory,M,S,D
1,1,"1 2 4 4 4 4 -2 4 -1 4",24,1,128
2,1,"1 2 4 4 -1 -2 4 4 4 4",24,1,0
3,1,"1 2 4 4 -1 4 4 4 -2 4",24,1,128
4,1,"1 1 4 4 -1 -1 4 4 4 4",6,1,512
5,1,"1 4 -1 4 4 1 4 -1 4 4",6,2,128
6,1,"1 2 -1 4 4 4 4 -2 4 4",24,1,0
7,1,"1 2 4 -1 4 -2 4 4 4 4",24,1,128
8,1,"1 2 -1 4 -2 4 4 4 4 4",24,1,0
9,1,"1 2 4 -1 4 4 4 4 -2 4",24,1,128
10,1,"1 1 4 -1 4 -1 4 4 4 4",6,1,256
11,1,"1 4 2 4 -1 4 4 -2 4 4",24,1,128
12,1,"1 2 4 4 4 -2 -1 4 4 4",12,1,256
13,1,"1 2 4 4 4 4 -1 4 -2 4",24,1,128
14,1,"1 2 4 4 -1 4 4 -2 4 4",24,1,128
15,1,"1 1 4 4 4 -1 -1 4 4 4",3,1,512
16,1,"1 4 1 4 4 -1 4 4 -1 4",6,1,128
17,1,"1 4 2 4 4 -2 4 4 -1 4",24,1,128
18,1,"1 4 1 4 4 -1 4 -1 4 4",3,1,128
19,1,"1 2 4 -1 4 4 4 -2 4 4",24,1,128
20,1,"1 4 -1 4 4 2 4 -2 4 4",12,1,128
21,1,"1 2 4 4 4 -2 4 4 -1 4",24,1,128
22,1,"1 2 4 -1 -2 4 4 4 4 4",24,1,0
23,1,"1 4 2 4 4 -2 4 -1 4 4",12,1,128
24,1,"1 1 4 4 4 -1 4 4 -1 4",6,1,256
25,1,"1 2 4 -2 4 -1 4 4 4 4",24,1,128
26,1,"1 4 2 4 -2 4 -1 4 4 4",24,1,128
27,1,"1 2 4 4 4 -2 4 -1 4 4",24,1,128
28,1,"1 2 4 4 -2 4 -1 4 4 4",24,1,128
29,1,"1 1 4 4 4 -1 4 -1 4 4",6,1,256
30,1,"1 4 1 4 -1 4 -1 4 4 4",6,1,128
31,1,"1 1 4 -1 -1 4 4 4 4 4",6,1,512
32,1,"1 4 2 4 -2 4 4 4 -1 4",24,1,128
33,1,"1 2 4 4 4 -1 -2 4 4 4",12,1,0
34,1,"1 2 4 4 -2 4 4 4 -1 4",24,1,128
35,1,"1 4 4 4 4 4 4 4 -1 -4",6,1,-512
36,1,"1 1 4 4 -1 4 -1 4 4 4",6,1,256
37,1,"1 4 1 4 -1 4 4 4 -1 4",6,1,128
38,1,"1 4 -1 4 1 4 -1 4 4 4",6,1,128
39,1,"1 2 -1 -2 4 4 4 4 4 4",24,1,-256
40,1,"1 4 2 4 -2 4 4 -1 4 4",24,1,128
41,1,"1 2 4 4 -2 4 4 -1 4 4",24,1,128
42,1,"1 1 4 -1 4 4 -1 4 4 4",6,1,256
43,1,"1 4 1 4 -1 4 4 -1 4 4",6,1,128
44,1,"1 1 4 4 -1 4 4 4 -1 4",6,1,256
45,1,"1 2 4 -2 -1 4 4 4 4 4",24,1,256
46,1,"1 2 -1 4 4 4 -2 4 4 4",24,1,0
47,1,"1 1 4 -1 4 4 4 4 -1 4",6,1,256
48,1,"1 1 4 4 -1 4 4 -1 4 4",6,1,256
49,1,"1 4 -1 4 1 4 4 -1 4 4",6,1,128
50,1,"1 4 -1 4 4 -1 4 1 4 4",3,1,128
51,1,"1 4 2 4 -1 4 -2 4 4 4",24,1,128
52,1,"1 2 4 4 4 -1 4 4 -2 4",24,1,128
53,1,"1 1 4 -1 4 4 4 -1 4 4",6,1,256
54,1,"1 1 4 4 4 4 -1 4 -1 4",6,1,256
55,1,"1 2 4 -2 4 4 -1 4 4 4",24,1,128
56,1,"1 2 4 4 -1 4 -2 4 4 4",24,1,128
57,1,"1 2 4 -1 4 4 -2 4 4 4",24,1,128
58,1,"1 4 2 4 4 -1 4 -2 4 4",12,1,128
59,1,"1 2 4 -2 4 4 4 4 -1 4",24,1,128
60,1,"1 2 4 4 4 -1 4 -2 4 4",24,1,128
61,1,"1 2 -1 4 4 -2 4 4 4 4",24,1,0
62,1,"1 2 -1 4 4 4 4 4 -2 4",24,1,0
63,1,"1 2 4 4 -2 -1 4 4 4 4",24,1,256
64,1,"1 2 4 -2 4 4 4 -1 4 4",24,1,128
