j,trajectory,M,S,D
1,"1 2 2 2 2 2 -1 -2 -2 -2 -2 -2",12,1,-2048
2,"1 2 1 2 -1 -2 -2 -2 -2 -1 2 2",48,1,512
3,"1 2 1 2 2 -1 2 -1 -2 -2 -2 -2",24,1,-512
4,"1 2 1 -2 -2 -1 2 2 2 -1 -2 -2",24,1,512
5,"1 2 -1 -1 -2 -2 -2 -2 1 2 2 2",48,1,-1024
6,"1 2 2 -1 -2 -2 1 2 2 -1 -2 -2",12,2,512
7,"1 2 1 2 2 2 -1 -2 -1 -2 -2 -2",24,1,-512
8,"1 2 -1 2 2 2 1 -2 -1 -2 -2 -2",24,1,512
9,"1 2 -1 2 2 2 1 -2 -2 -2 -1 -2",24,1,512
10,"1 2 1 2 -1 2 2 -1 -2 -2 -2 -2",48,1,-512
11,"1 2 -1 -1 2 2 2 1 -2 -2 -2 -2",48,1,1024
12,"1 2 -1 2 2 1 2 -1 -2 -2 -2 -2",24,1,-512
13,"1 2 -1 -2 -2 -1 2 2 2 1 -2 -2",24,1,512
14,"1 2 2 2 2 -1 -1 -2 -2 -2 -2 1",12,1,-2048
15,"1 2 1 2 2 2 -1 -2 -2 -1 -2 -2",48,1,-512
16,"1 2 1 -2 -1 2 2 2 -1 -2 -2 -2",48,1,512
17,"1 2 1 2 2 2 -1 -1 -2 -2 -2 -2",48,1,-1024
18,"1 2 2 1 2 2 -1 -2 -2 -1 -2 -2",24,1,-512
19,"1 2 1 2 2 2 -1 -2 -2 -2 -1 -2",48,1,-512
20,"1 2 -1 2 2 2 1 -2 -2 -1 -2 -2",48,1,512
21,"1 2 -1 2 2 2 -1 -2 1 -2 -2 -2",24,1,-512
22,"1 2 -1 2 1 2 2 -1 -2 -2 -2 -2",48,1,-512
23,"1 2 -1 2 2 -1 2 1 -2 -2 -2 -2",24,1,512
24,"1 2 -1 -2 -2 1 2 2 2 -1 -2 -2",24,1,512
25,"1 2 2 1 2 2 -1 -1 -2 -2 -2 -2",48,1,-1024
26,"1 2 2 1 -2 -2 -1 2 2 -1 -2 -2",12,1,512
27,"1 2 2 -1 -1 2 2 1 -2 -2 -2 -2",24,1,1024
28,"1 2 2 -1 2 2 1 -2 -2 -1 -2 -2",12,1,512
29,"1 2 -1 2 2 2 -1 -2 -2 1 -2 -2",48,1,-512
30,"1 2 -1 -2 1 2 2 2 -1 -2 -2 -2",24,1,512
31,"1 2 1 1 -2 -1 2 2 -1 -2 -1 -2",48,1,256
32,"1 2 1 1 -2 -2 -1 2 2 -1 -1 -2",48,1,512
33,"1 2 1 -2 -1 2 1 -2 -1 2 -1 -2",24,1,-128
34,"1 2 1 1 2 -1 -1 2 -1 -2 -2 -2",24,1,-512
35,"1 2 -1 -1 -2 -2 1 1 2 2 -1 -2",24,1,512
36,"1 2 1 1 2 2 -1 -1 -2 -1 -2 -2",48,1,-512
37,"1 2 1 1 -2 -1 2 2 -1 -1 -2 -2",48,1,512
38,"1 2 1 -2 1 2 -1 -2 -1 2 -1 -2",12,1,-128
39,"1 2 1 2 -1 -1 -2 -2 1 2 -1 -2",48,1,256
40,"1 2 1 1 -2 -1 -2 -1 -2 -1 2 2",24,1,-256
41,"1 2 1 1 2 -1 -1 -2 -2 -2 -1 2",48,1,512
42,"1 2 1 2 -1 -1 -2 -2 -1 2 1 -2",48,1,256
43,"1 2 -1 -1 -1 -2 -2 -2 1 2 2 1",24,1,-1024
44,"1 2 1 1 -2 -1 2 -1 2 -1 -2 -2",48,1,256
45,"1 2 1 2 1 2 -1 -2 -1 -2 -1 -2",12,1,-128
46,"1 2 1 2 -1 -2 -1 2 1 -2 -1 -2",24,1,128
47,"1 2 1 -2 -1 -1 -2 1 2 2 -1 -2",48,1,-256
48,"1 2 1 1 2 2 -1 -1 -2 -2 -1 -2",24,1,-512
49,"1 2 1 1 2 2 -1 -1 -1 -2 -2 -2",48,1,-1024
50,"1 2 -1 -1 -1 2 2 1 1 -2 -2 -2",24,1,1024
51,"1 2 1 1 -2 -1 2 -1 -2 -2 -1 2",48,1,-256
52,"1 2 -1 -1 -2 1 1 2 2 -1 -2 -2",24,1,512
53,"1 2 1 2 1 2 -1 -1 -1 -2 -2 -2",24,1,-512
54,"1 2 1 1 2 -1 2 -1 -2 -2 -1 -2",24,1,-256
55,"1 2 1 1 2 -1 -2 -2 -1 -2 -1 2",24,1,256
56,"1 2 1 1 2 2 -1 -2 -2 -1 -1 -2",48,1,-512
57,"1 2 1 1 -2 -2 -1 -2 -1 2 -1 2",24,1,-256
58,"1 2 1 2 -1 -2 1 -2 -1 2 -1 -2",24,1,-128
59,"1 2 1 2 1 2 -1 -2 -2 -1 -1 -2",24,1,-256
60,"1 2 1 2 -1 -2 -2 1 2 -1 -1 -2",24,1,256
61,"1 2 -1 -1 -1 -2 1 2 2 1 -2 -2",24,1,-512
62,"1 2 1 1 2 -1 2 -1 -2 -1 -2 -2",48,1,-256
63,"1 2 1 1 2 -1 -2 -2 -1 2 -1 -2",48,1,-256
64,"1 2 1 1 -2 -2 -1 2 -1 -2 -1 2",48,1,-256
65,"1 2 1 1 -2 -2 -1 -2 -1 -1 2 2",12,1,-512
66,"1 2 1 2 -1 2 -1 -2 -1 -2 1 -2",6,1,-128
67,"1 2 1 -2 -1 -1 2 1 2 -1 -2 -2",24,1,256
68,"1 2 1 -2 -1 -1 -1 2 2 1 -2 -2",48,1,-512
69,"1 2 1 -2 -1 2 1 2 -1 -1 -2 -2",24,1,256
70,"1 2 1 2 -1 2 -1 -2 1 -2 -1 -2",24,1,-128
71,"1 2 1 1 2 -1 -2 -2 -2 -1 -1 2",48,1,512
72,"1 2 1 1 -2 -2 -2 -1 -1 2 -1 2",24,1,-512
73,"1 2 1 1 -2 -2 -1 2 -1 2 -1 -2",48,1,256
74,"1 2 1 1 2 -1 2 -1 -1 -2 -2 -2",48,1,-512
75,"1 2 1 2 -1 -1 -1 2 1 -2 -2 -2",24,1,512
76,"1 2 1 1 2 2 -1 -2 -1 -2 -1 -2",48,1,-256
77,"1 2 -1 -1 2 1 -2 -1 2 1 -2 -2",24,1,-256
78,"1 2 1 1 -2 -2 -2 -1 -1 -1 2 2",24,1,-1024
79,"1 2 1 -2 1 2 2 -1 -1 -1 -2 -2",24,1,-512
80,"1 2 1 -2 -1 -1 2 2 1 -2 -1 -2",24,1,-256
81,"1 2 1 1 2 2 -1 -2 -1 -1 -2 -2",24,1,-512
82,"1 2 1 1 -2 -2 -1 -1 2 2 -1 -2",48,1,512
83,"1 2 1 2 -1 -2 1 2 -1 -2 -1 -2",24,1,128
84,"1 2 1 2 -1 2 1 -2 -2 -1 -1 -2",48,1,256
85,"1 2 1 1 2 -1 -2 -1 2 -1 -2 -2",48,1,-256
86,"1 2 1 1 -2 -1 -1 2 2 -1 -2 -2",48,1,512
87,"1 2 1 1 -2 -1 -2 -1 2 2 -1 -2",48,1,256
88,"1 2 1 2 1 -2 -1 2 -1 -2 -1 -2",48,1,128
89,"1 2 -1 -1 2 2 -1 -2 1 1 -2 -2",12,1,-512
90,"1 2 -1 -2 1 2 -1 -2 1 2 -1 -2",6,3,-128
91,"1 2 2 2 -1 -1 -1 -2 -2 -2 1 1",6,1,-2048
92,"1 2 1 1 2 -1 -2 -1 -2 -2 -1 2",24,1,256
93,"1 2 1 1 -2 -1 -1 -2 -2 -1 2 2",24,1,-512
94,"1 2 1 2 -1 -1 -2 1 2 -1 -2 -2",24,1,256
95,"1 2 -1 -1 -1 2 2 1 -2 -2 -2 1",24,1,1024
96,"1 2 3 -1 3 3 3 -2 -3 -3 -3 -3",192,1,-512
97,"1 2 3 2 2 2 -3 -2 -1 -2 -2 -2",96,1,0
98,"1 2 3 2 -3 2 2 -1 -2 -2 -2 -2",192,1,-512
99,"1 2 -1 2 2 3 2 -3 -2 -2 -2 -2",96,1,0
100,"1 2 3 2 -1 2 2 -3 -2 -2 -2 -2",192,1,0
101,"1 2 3 -2 -2 -1 2 2 2 -3 -2 -2",96,1,-512
102,"1 2 -1 -2 -2 3 2 2 2 -3 -2 -2",96,1,512
103,"1 2 3 -2 -3 -3 -3 -3 -1 3 3 3",192,1,512
104,"1 2 3 2 2 2 -1 -2 -3 -2 -2 -2",96,1,-512
105,"1 2 3 -2 -2 -2 -3 2 2 2 -1 -2",192,1,512
106,"1 2 3 3 3 3 -1 -2 -3 -3 -3 -3",48,1,-1024
