j,trajectory,M,S,D
107,"1 2 3 3 3 3 -1 -3 -3 -3 -3 -2",96,1,-1024
108,"1 2 3 -1 -3 -3 -3 -3 -2 3 3 3",192,1,-512
109,"1 2 3 2 2 2 -3 -2 -2 -1 -2 -2",192,1,0
110,"1 2 3 3 3 -2 3 -1 -3 -3 -3 -3",192,1,-512
111,"1 2 3 2 2 2 -1 -2 -2 -3 -2 -2",192,1,-512
112,"1 2 3 2 2 2 -3 -2 -2 -2 -1 -2",192,1,0
113,"1 2 3 -2 -1 2 2 2 -3 -2 -2 -2",96,1,-512
114,"1 2 2 3 2 2 -3 -2 -2 -1 -2 -2",96,1,0
115,"1 2 3 3 3 -1 3 -2 -3 -3 -3 -3",192,1,-512
116,"1 2 2 3 2 2 -1 -2 -2 -3 -2 -2",48,1,-512
117,"1 2 3 3 -1 -3 -3 -3 -3 -2 3 3",96,1,-512
118,"1 2 3 2 2 2 -1 -2 -2 -2 -3 -2",96,1,-512
119,"1 2 3 3 -2 3 3 -1 -3 -3 -3 -3",192,1,-512
120,"1 2 3 3 -2 -3 -3 -3 -3 -1 3 3",96,1,512
121,"1 2 3 2 2 -3 2 -1 -2 -2 -2 -2",96,1,-512
122,"1 2 2 3 -2 -2 -3 2 2 -1 -2 -2",48,1,512
123,"1 2 3 -2 3 3 3 -1 -3 -3 -3 -3",192,1,-512
124,"1 2 3 3 -1 3 3 -2 -3 -3 -3 -3",192,1,-512
125,"1 2 2 3 -2 -2 -1 2 2 -3 -2 -2",24,1,-512
126,"1 2 3 3 3 3 -2 -1 -3 -3 -3 -3",48,1,-1024
127,"1 2 3 2 2 -1 2 -3 -2 -2 -2 -2",96,1,0
128,"1 2 -1 2 2 2 3 -2 -2 -3 -2 -2",192,1,0
129,"1 2 -1 2 2 2 3 -2 -3 -2 -2 -2",96,1,0
130,"1 2 3 2 2 -3 -2 -2 -2 -2 -1 2",192,1,0
131,"1 2 3 -2 -2 -3 2 2 2 -1 -2 -2",96,1,512
132,"1 2 3 -1 3 2 3 -2 -2 -3 -3 -3",192,1,-256
133,"1 2 3 -2 3 3 -1 -3 2 -3 -3 -2",192,1,-256
134,"1 2 3 3 -1 -3 2 -3 -3 -2 -2 3",192,1,-256
135,"1 2 3 3 2 -3 -3 -3 -2 3 -1 -2",192,1,256
136,"1 2 3 -1 -3 -3 2 3 -2 3 -2 -3",192,1,128
137,"1 2 3 -1 3 -2 3 -2 -3 2 -3 -3",192,1,-128
138,"1 2 3 -2 -2 -1 -2 3 2 -3 -3 2",192,1,256
139,"1 2 3 -2 -2 -3 -3 2 -3 -1 3 3",192,1,256
140,"1 2 3 -2 3 2 -3 -3 -1 3 -2 -3",192,1,-128
141,"1 2 3 -2 -3 2 -3 -3 -1 3 -2 3",192,1,128
142,"1 2 3 -2 -3 -3 2 3 -1 -3 -2 3",192,1,128
143,"1 2 3 -1 3 3 -2 -3 2 -3 -3 -2",192,1,0
144,"1 2 3 -2 -3 -1 3 2 -3 -3 -2 3",192,1,-128
145,"1 2 3 -1 -3 -2 3 2 3 -2 -3 -3",192,1,-128
146,"1 2 3 2 3 -2 -3 -1 3 -2 -3 -3",192,1,128
147,"1 2 3 -2 3 2 3 -2 -3 -1 -3 -3",192,1,-128
148,"1 2 3 -2 -3 -3 -1 -3 2 3 -2 3",192,1,-128
149,"1 2 3 3 3 -1 -3 -3 2 -3 -2 -2",192,1,-512
150,"1 2 3 -2 3 -1 -3 -3 -2 3 2 -3",192,1,128
151,"1 2 3 2 3 -2 -3 -2 -3 -3 -1 3",192,1,128
152,"1 2 3 3 -2 3 -2 -3 2 -3 -1 -3",192,1,-128
153,"1 2 -1 3 -2 -3 -2 3 3 2 -3 -3",192,1,256
154,"1 2 3 -1 3 3 2 -3 -3 -3 -2 -2",192,1,0
155,"1 2 3 2 -3 -2 -2 3 3 -1 -3 -3",192,1,256
156,"1 2 3 3 -2 -3 -2 -3 -1 -3 2 3",192,1,-128
157,"1 2 3 -2 -3 2 -3 -2 3 2 -1 -2",96,1,-128
158,"1 2 3 -2 -3 2 -1 -2 3 2 -3 -2",48,1,-128
159,"1 2 3 2 3 3 -2 -3 -2 -1 -3 -3",192,1,-256
160,"1 2 3 -2 -3 -1 -2 3 3 2 -3 -3",192,1,0
161,"1 2 3 -1 -3 -3 2 3 -2 -3 -2 3",192,1,128
162,"1 2 3 3 -1 -2 -3 -3 -2 -3 2 3",192,1,0
163,"1 2 3 3 3 2 -1 -3 -2 -2 -3 -3",192,1,0
164,"1 2 3 -2 -1 -2 -2 3 2 -3 -3 2",192,1,256
165,"1 2 3 3 -1 3 -2 -2 -3 2 -3 -3",192,1,-256
166,"1 2 3 2 3 3 -2 -3 -3 -2 -1 -3",192,1,-256
167,"1 2 3 2 -3 2 -3 -2 3 -2 -1 -2",192,1,0
168,"1 2 3 -2 3 2 -3 -2 -3 2 -1 -2",96,1,-128
169,"1 2 3 3 3 -2 -1 2 -3 -3 -3 -2",48,1,-512
170,"1 2 3 3 -1 3 -2 -3 -2 -3 2 -3",192,1,-128
171,"1 2 -1 3 3 -2 3 2 -3 -2 -3 -3",96,1,256
172,"1 2 3 2 -3 -2 -3 -2 -3 -1 3 3",192,1,-128
173,"1 2 3 3 -1 2 -3 -3 -3 -2 -2 3",192,1,-512
174,"1 2 3 3 -2 -2 -3 2 -3 -3 -1 3",192,1,256
175,"1 2 3 -2 3 3 -1 -2 -3 -3 -3 2",192,1,-256
176,"1 2 3 3 2 -3 -3 -1 -3 -2 -2 3",192,1,-256
177,"1 2 3 -1 3 -2 -3 2 3 -2 -3 -3",192,1,128
178,"1 2 3 -1 -3 -3 -3 2 3 -2 -2 3",192,1,256
179,"1 2 3 -2 -3 -1 2 3 3 -2 -3 -3",192,1,256
180,"1 2 3 -2 3 -2 -3 -3 -3 2 -1 3",192,1,0
181,"1 2 3 -2 -3 -3 -2 3 -1 -3 2 3",192,1,128
182,"1 2 3 -2 -3 -3 -1 -2 3 3 2 -3",192,1,0
183,"1 2 3 -2 -1 -3 -2 3 3 2 -3 -3",192,1,256
184,"1 2 3 3 2 -3 -3 -2 -2 3 -1 -3",192,1,256
185,"1 2 3 -1 -3 -3 2 -3 -2 3 3 -2",192,1,-256
186,"1 2 3 2 3 -2 -3 -3 -1 3 -2 -3",192,1,128
187,"1 2 3 2 -3 -3 -2 3 -2 -3 -1 3",192,1,-128
188,"1 2 3 -2 -3 -2 3 3 2 -3 -1 -3",192,1,128
189,"1 2 3 3 3 2 -1 -2 -2 -3 -3 -3",192,1,-512
190,"1 2 3 2 -3 -3 -1 3 3 -2 -2 -3",192,1,-256
191,"1 2 3 -1 3 3 2 -3 -2 -3 -3 -2",192,1,0
192,"1 2 3 -2 3 3 2 -3 -1 -3 -2 -3",192,1,128
193,"1 2 3 -1 -3 -2 3 -2 3 2 -3 -3",192,1,128
194,"1 2 3 -2 -2 -3 -3 -3 -1 3 3 2",192,1,0
195,"1 2 3 -2 -3 -3 -1 -3 -2 3 2 3",192,1,128
196,"1 2 3 3 -1 -2 -3 -3 -2 3 2 -3",192,1,256
197,"1 2 3 -2 -3 -1 3 -2 -3 -3 2 3",192,1,-128
198,"1 2 3 3 2 3 -2 -2 -3 -3 -1 -3",192,1,-256
199,"1 2 -1 3 2 -3 -2 3 3 -2 -3 -3",192,1,256
200,"1 2 3 -2 3 2 -3 -3 -2 -3 -1 3",192,1,-128
201,"1 2 3 -2 3 3 2 -3 -2 -3 -1 -3",192,1,128
202,"1 2 3 -1 2 -3 -3 -3 -2 3 -2 3",192,1,-256
203,"1 2 3 -1 -2 3 2 3 -2 -3 -3 -3",192,1,-256
204,"1 2 3 3 3 2 -1 -2 -3 -3 -3 -2",48,1,-512
205,"1 2 2 3 -1 -3 -3 -2 -3 -2 3 3",192,1,-256
206,"1 2 3 -2 -3 -3 2 -3 -2 3 -1 3",192,1,128
207,"1 2 3 -2 -3 -3 -3 2 -1 3 -2 3",192,1,0
208,"1 2 3 3 -1 -3 -2 -3 -2 -3 2 3",192,1,128
209,"1 2 3 2 3 -1 3 -2 -3 -2 -3 -3",192,1,-128
210,"1 2 3 -2 3 -1 3 2 -3 -3 -2 -3",192,1,128
211,"1 2 3 3 -2 -3 -2 -3 2 -3 -1 3",192,1,128
212,"1 2 3 -1 3 -2 -3 2 -3 -3 -2 3",192,1,128
213,"1 2 3 -1 3 3 -2 -2 -3 2 -3 -3",192,1,-256
214,"1 2 3 -2 3 -1 2 -3 -3 -3 -2 3",192,1,-256
215,"1 2 3 -2 -2 3 3 -1 2 -3 -3 -3",192,1,0
216,"1 2 3 -2 -1 -2 -3 2 3 -2 -3 2",96,1,128
217,"1 2 3 -1 3 -2 3 2 -3 -3 -2 -3",192,1,128
218,"1 2 3 2 3 3 -1 -3 -3 -2 -2 -3",192,1,-256
219,"1 2 3 3 -1 -3 -3 -2 -2 -3 2 3",192,1,256
220,"1 2 3 3 -2 -3 -1 -2 -3 -3 2 3",96,1,-256
221,"1 2 3 -2 3 -2 3 -1 -3 2 -3 -3",192,1,-128
222,"1 2 3 2 -3 -2 3 3 -2 -1 -3 -3",192,1,256
223,"1 2 3 2 -3 -1 -3 -2 -3 -2 3 3",192,1,-128
224,"1 2 3 2 -1 -2 3 2 -3 -2 -3 -2",192,1,128
225,"1 2 3 -2 -1 -2 3 3 2 -3 -3 -3",192,1,256
226,"1 2 3 3 -2 -2 -3 -3 -1 -3 2 3",192,1,-256
227,"1 2 3 2 -3 -1 3 3 -2 -2 -3 -3",192,1,-256
228,"1 2 3 -1 3 -2 -3 -2 3 2 -3 -3",192,1,128
229,"1 2 3 -2 -3 2 -1 -3 -3 -2 3 3",96,1,256
230,"1 2 3 -2 3 3 2 -1 -2 -3 -3 -3",192,1,-256
231,"1 2 2 3 3 3 -2 -2 -3 -1 -3 -3",192,1,-512
232,"1 2 3 -2 -3 -3 -3 2 3 -2 -1 3",96,1,-256
233,"1 2 -1 3 -2 -2 3 3 2 -3 -3 -3",192,1,512
234,"1 2 3 -1 -3 -3 -2 3 -2 3 2 -3",192,1,128
235,"1 2 2 -1 3 3 -2 3 -2 -3 -3 -3",192,1,-512
236,"1 2 3 -2 -3 2 3 -1 3 -2 -3 -3",192,1,128
237,"1 2 3 -1 -3 -3 -3 -2 -2 3 3 2",192,1,0
238,"1 2 3 2 -3 -1 -3 -2 3 3 -2 -3",192,1,128
239,"1 2 3 -2 3 2 3 -1 -3 -3 -3 -2",192,1,-256
240,"1 2 3 2 -3 -3 -3 -2 3 3 -1 -2",192,1,256
241,"1 2 3 3 -2 -3 -1 3 2 -3 -3 -2",96,1,-256
242,"1 2 3 3 3 -2 -3 2 -3 -3 -1 -2",192,1,256
243,"1 2 3 -2 -1 2 -3 -2 3 -2 -3 2",192,1,0
244,"1 2 3 -2 -3 2 -3 -3 -2 -1 3 3",192,1,256
245,"1 2 3 2 3 -2 -3 -3 -2 -3 -1 3",192,1,128
246,"1 2 3 -2 3 3 -2 -3 2 -3 -1 -3",192,1,-128
247,"1 2 3 2 -1 -2 -2 -3 -3 2 3 -2",192,1,256
248,"1 2 3 2 3 -2 -2 -1 2 -3 -3 -2",192,1,-256
249,"1 2 3 2 -3 -2 -3 -3 -2 3 -1 3",192,1,-128
250,"1 2 3 -2 -3 -3 -2 -3 2 3 -1 3",192,1,-128
251,"1 2 3 -2 -3 -3 -3 -2 -1 3 2 3",192,1,256
252,"1 2 3 2 -3 -3 -1 -3 -2 3 -2 3",192,1,-128
253,"1 2 3 3 3 2 -3 -3 -3 -2 -1 -2",192,1,0
254,"1 2 3 2 -3 -3 -3 -1 3 -2 -2 3",192,1,-256
255,"1 2 3 -2 -3 -2 -3 -2 3 2 -1 2",96,1,128
256,"1 2 3 -1 -2 -3 -3 -3 -2 3 3 2",192,1,256
257,"1 2 2 3 3 3 -2 -3 -2 -3 -1 -3",192,1,-256
258,"1 2 3 -1 3 2 3 -2 -3 -3 -2 -3",192,1,-128
259,"1 2 3 -2 3 3 -1 -3 -2 -3 2 -3",192,1,-128
260,"1 2 3 3 -2 3 -1 2 -3 -3 -2 -3",96,1,0
261,"1 2 3 -1 -2 3 -2 3 2 -3 -3 -3",192,1,256
262,"1 2 3 2 -3 -3 -3 -2 -2 3 -1 3",192,1,-256
263,"1 2 3 -2 -2 -3 -3 -3 2 3 -1 3",192,1,-256
264,"1 2 2 3 -2 -3 -3 -2 -3 -1 3 3",192,1,256
265,"1 2 3 2 -3 -3 -3 -2 -1 -2 3 3",192,1,-256
266,"1 2 3 -2 3 2 -3 -1 3 -2 -3 -3",192,1,-128
267,"1 2 3 2 -3 2 3 -2 -3 -2 -1 -2",192,1,0
268,"1 2 3 2 3 -2 -1 -2 -3 2 -3 -2",192,1,0
269,"1 2 3 -1 -2 3 3 -2 -3 -3 -3 2",192,1,-256
270,"1 2 3 2 3 -2 3 -1 -3 -3 -2 -3",192,1,-128
271,"1 2 3 -2 3 -1 -2 -3 -3 -3 2 3",192,1,0
272,"1 2 2 3 3 -2 3 -2 -3 -1 -3 -3",192,1,-256
273,"1 2 3 2 -1 -2 3 3 -2 -3 -3 -3",192,1,-256
274,"1 2 3 2 3 3 -2 -3 -1 -3 -2 -3",192,1,-128
275,"1 2 3 -2 -3 -3 -3 -2 3 2 -1 3",96,1,0
276,"1 2 2 3 -2 -3 -3 -3 -2 3 -1 3",192,1,256
277,"1 2 2 3 3 -2 -2 3 -1 -3 -3 -3",192,1,-512
278,"1 2 3 -2 -1 2 -3 -2 -3 -2 3 2",192,1,0
279,"1 2 3 -2 -2 -3 -3 -2 3 2 -1 2",192,1,256
280,"1 2 3 3 -2 3 -1 -3 2 -3 -3 -2",96,1,-256
281,"1 2 3 2 -1 3 3 -2 -2 -3 -3 -3",192,1,-512
282,"1 2 3 3 3 2 -3 -2 -3 -3 -1 -2",192,1,-256
283,"1 2 3 3 -2 -2 -1 -2 -3 -3 2 2",96,1,-512
284,"1 2 3 -2 3 2 2 -1 -2 -3 -3 -2",192,1,-256
285,"1 2 3 -2 -3 2 -3 -2 -3 -1 3 3",192,1,128
286,"1 2 3 3 3 2 -3 -2 -2 -3 -1 -3",192,1,256
287,"1 2 3 -2 3 2 -1 2 -3 -3 -2 -2",192,1,0
288,"1 2 3 -1 3 3 -2 -3 -3 2 -3 -2",192,1,0
289,"1 2 3 3 -1 -3 2 3 -2 -3 -3 -2",192,1,256
290,"1 2 2 3 3 -2 -3 -2 3 -1 -3 -3",192,1,-256
291,"1 2 3 -2 -1 3 3 -2 -3 2 -3 -3",192,1,0
292,"1 2 -1 3 2 -3 -3 -3 -2 3 -2 3",192,1,0
293,"1 2 3 -2 -1 2 -3 -3 -2 -2 3 2",192,1,0
294,"1 2 3 2 -1 -2 -2 3 2 -3 -3 -2",192,1,256
295,"1 2 3 -2 -3 -3 2 -1 3 3 -2 -3",192,1,256
296,"1 2 3 -2 -2 3 3 2 -3 -1 -3 -3",192,1,256
297,"1 2 2 3 3 -1 3 -2 -2 -3 -3 -3",192,1,-512
298,"1 2 3 -2 -1 2 3 -2 -3 -2 -3 2",192,1,0
299,"1 2 3 -2 3 -2 -3 -3 -1 3 2 -3",192,1,-128
300,"1 2 3 -2 3 3 -2 -3 -1 2 -3 -3",192,1,-256
301,"1 2 3 3 2 -3 -1 -3 -2 3 -2 -3",192,1,128
302,"1 2 2 3 3 3 -1 -3 -2 -3 -2 -3",192,1,-256
303,"1 2 3 -1 2 -3 -3 -2 -3 -2 3 3",192,1,-256
304,"1 2 3 -1 3 2 -3 -3 -2 3 -2 -3",192,1,128
305,"1 2 2 3 -1 -3 -3 -2 3 3 -2 -3",192,1,-256
306,"1 2 3 -1 3 -2 3 2 -3 -2 -3 -3",192,1,128
307,"1 2 3 -2 -3 2 3 -1 -3 -3 -2 3",192,1,128
308,"1 2 2 3 3 -1 -3 -3 -3 -2 -2 3",192,1,-512
309,"1 2 3 3 -1 -2 -2 -3 -3 -3 2 3",192,1,0
310,"1 2 3 3 2 3 -1 -3 -2 -3 -3 -2",96,1,-256
311,"1 2 3 2 -3 2 -1 -2 -3 -2 3 -2",48,1,-128
312,"1 2 3 -1 3 -2 -3 -3 2 3 -2 -3",192,1,128
313,"1 2 3 -2 -2 3 3 -1 -3 -3 -3 2",192,1,0
314,"1 2 3 3 2 -1 3 -2 -3 -3 -2 -3",192,1,-256
315,"1 2 -1 3 2 3 -2 3 -2 -3 -3 -3",192,1,-256
316,"1 2 3 3 -2 -3 -1 3 -2 -3 -3 2",96,1,0
317,"1 2 3 -1 -3 -3 -2 3 -2 -3 2 3",192,1,128
318,"1 2 3 2 -3 -3 -3 -1 -2 3 3 -2",192,1,-256
319,"1 2 3 2 3 -2 -3 -3 2 -1 -2 -2",192,1,256
320,"1 2 2 3 -1 3 3 -2 -3 -3 -2 -3",192,1,-256
321,"1 2 3 -2 -1 2 3 -2 -2 -3 -3 2",192,1,0
322,"1 2 3 -2 3 -2 3 2 -1 -3 -3 -3",96,1,0
323,"1 2 3 3 -1 3 -2 -3 -2 -3 -3 2",192,1,-256
324,"1 2 3 3 2 3 -2 -3 -3 -2 -1 -3",192,1,-256
325,"1 2 3 2 -3 -2 -3 -3 -1 3 3 -2",192,1,-256
326,"1 2 3 -2 -3 -3 -1 3 2 3 -2 -3",192,1,128
327,"1 2 -1 3 -2 3 3 2 -3 -3 -2 -3",96,1,256
328,"1 2 3 2 -3 -2 -3 -2 3 2 -1 -2",192,1,128
329,"1 2 3 3 2 -3 -1 3 -2 -3 -2 -3",192,1,-128
330,"1 2 3 -1 -3 -3 2 -3 -2 3 -2 3",192,1,-128
331,"1 2 3 2 -3 -2 -3 -2 3 3 -1 -3",192,1,128
332,"1 2 3 3 -2 -3 -3 2 -1 3 -2 -3",96,1,256
333,"1 2 3 -2 -3 2 3 3 -2 -1 -3 -3",192,1,256
334,"1 2 3 3 -2 -2 -3 -3 -3 2 -1 3",192,1,0
335,"1 2 2 3 3 -2 -2 -3 -3 -3 -1 3",192,1,512
336,"1 2 3 -2 3 2 3 -1 -3 -2 -3 -3",192,1,-128
337,"1 2 3 2 -1 -2 -3 -3 -3 -2 3 3",192,1,-256
338,"1 2 3 2 3 -2 -3 -2 -3 2 -1 -2",192,1,128
339,"1 2 3 2 -3 -1 -3 -3 -2 -2 3 3",192,1,-256
340,"1 2 3 -2 3 3 -1 2 -3 -3 -3 -2",192,1,-256
341,"1 2 2 3 3 -2 -3 -3 -1 -3 -2 3",192,1,256
342,"1 2 3 3 -1 -2 -2 3 2 -3 -3 -3",192,1,512
343,"1 2 3 2 -3 -3 -2 -2 3 3 -1 -3",192,1,256
344,"1 2 3 2 -1 2 -3 -2 3 -2 -3 -2",192,1,0
345,"1 2 3 2 -3 -3 -2 -2 3 2 -1 -2",192,1,256
346,"1 2 3 3 -1 -3 -3 -3 2 3 -2 -2",192,1,512
347,"1 2 3 -1 3 -2 -3 -3 -2 3 2 -3",192,1,128
348,"1 2 3 -1 -3 -3 -3 2 3 3 -2 -2",192,1,512
349,"1 2 3 2 -3 -3 -2 -1 3 3 -2 -3",192,1,0
350,"1 2 3 -2 3 2 -3 -3 2 -1 -2 -2",192,1,-256
351,"1 2 3 -2 3 -2 -3 -3 2 2 -1 -2",192,1,256
352,"1 2 3 -1 3 -2 -3 -3 -2 -3 2 3",192,1,-128
353,"1 2 3 3 3 2 -3 -1 -3 -2 -2 -3",192,1,256
