j,trajectory,M,S,D
1,"1 2 2 2 2 -1 -2 -2 -2 -2",12,1,-512
2,"1 2 1 2 -1 2 -1 -2 -2 -2",24,1,-128
3,"1 2 1 2 -1 -2 -2 -2 -1 2",24,1,128
4,"1 2 -1 -2 1 2 2 -1 -2 -2",24,1,128
5,"1 2 -1 -1 2 2 1 -2 -2 -2",48,1,256
6,"1 2 2 2 -1 -1 -2 -2 -2 1",12,1,-512
7,"1 2 -1 2 2 1 -2 -2 -1 -2",24,1,128
8,"1 2 -1 2 2 -1 -2 1 -2 -2",24,1,-128
9,"1 2 1 2 2 -1 -1 -2 -2 -2",48,1,-256
10,"1 2 -1 2 1 2 -1 -2 -2 -2",24,1,-128
11,"1 2 1 -2 -1 2 2 -1 -2 -2",48,1,128
12,"1 2 1 2 2 -1 -2 -1 -2 -2",24,1,-128
13,"1 2 -1 -1 -2 -2 -2 1 2 2",48,1,-256
14,"1 2 -1 2 2 1 -2 -1 -2 -2",24,1,128
15,"1 2 1 2 2 -1 -2 -2 -1 -2",48,1,-128
16,"1 2 3 3 3 -1 -2 -3 -3 -3",48,1,-256
17,"1 2 3 -1 -3 -3 -3 -2 3 3",192,1,-128
18,"1 2 3 -2 -3 -3 -3 -1 3 3",192,1,128
19,"1 2 3 3 -2 3 -1 -3 -3 -3",192,1,-128
20,"1 2 3 2 -3 -2 -2 -2 -1 2",96,1,0
21,"1 2 3 3 -1 3 -2 -3 -3 -3",192,1,-128
22,"1 2 3 2 2 -3 -2 -1 -2 -2",96,1,0
23,"1 2 3 -2 -2 -3 2 2 -1 -2",192,1,128
24,"1 2 3 2 2 -1 -2 -3 -2 -2",96,1,-128
25,"1 2 3 -2 -1 2 2 -3 -2 -2",96,1,-128
26,"1 2 3 -2 3 3 -1 -3 -3 -3",192,1,-128
27,"1 2 3 -1 3 3 -2 -3 -3 -3",192,1,-128
28,"1 2 3 3 3 -2 -1 -3 -3 -3",48,1,-256
29,"1 2 3 2 2 -3 -2 -2 -1 -2",192,1,0
30,"1 2 -1 2 2 3 -2 -3 -2 -2",96,1,0
31,"1 2 3 2 2 -1 -2 -2 -3 -2",96,1,-128
32,"1 2 3 2 -3 2 -1 -2 -2 -2",96,1,-128
33,"1 2 3 3 3 -1 -3 -3 -3 -2",96,1,-256
34,"1 2 3 2 -1 2 -3 -2 -2 -2",96,1,0
35,"1 2 3 2 3 -2 -3 -2 -1 -3",192,1,-64
36,"1 2 3 2 -3 -3 -1 -2 -2 3",192,1,-128
37,"1 2 3 -2 -3 -1 2 -3 -2 3",96,1,0
38,"1 2 3 2 3 -1 -2 -2 -3 -3",96,1,-128
39,"1 2 3 -2 -2 3 -1 2 -3 -3",192,1,0
40,"1 2 3 -1 2 3 -2 -3 -3 -2",192,1,64
41,"1 2 3 2 3 -1 -3 -2 -3 -2",48,1,-64
42,"1 2 3 2 -1 3 -2 -3 -2 -3",192,1,-64
43,"1 2 3 -2 -2 -1 -3 -3 2 3",96,1,0
44,"1 2 3 -2 -2 3 2 -1 -3 -3",96,1,0
45,"1 2 3 -2 -2 3 2 -3 -1 -3",192,1,64
46,"1 2 3 -2 -2 -1 3 2 -3 -3",96,1,0
47,"1 2 3 -2 3 -2 -3 -3 -1 2",192,1,-64
48,"1 2 3 2 -1 -3 -2 3 -2 -3",96,1,0
49,"1 2 3 2 -3 -2 3 -2 -1 -3",96,1,64
50,"1 2 3 -2 3 -2 -3 2 -1 -3",192,1,0
51,"1 2 3 -1 -2 3 -2 -3 -3 2",192,1,-64
52,"1 2 3 -1 -2 -3 -3 2 3 -2",192,1,64
53,"1 2 3 -1 3 -2 -3 -2 -3 2",96,1,-64
54,"1 2 3 2 3 -1 -2 -3 -3 -2",192,1,-64
55,"1 2 3 -2 -3 -2 3 2 -1 -3",96,1,0
56,"1 2 3 2 -3 -1 -3 -2 3 -2",96,1,0
57,"1 2 3 2 -1 -2 3 -2 -3 -3",192,1,-64
58,"1 2 3 2 3 -2 -3 -3 -1 -2",192,1,64
59,"1 2 3 3 2 -3 -3 -2 -1 -2",192,1,0
60,"1 2 3 -1 2 3 -2 -3 -2 -3",192,1,0
61,"1 2 3 2 -3 -1 -3 -2 -2 3",192,1,-64
62,"1 2 2 3 3 -1 -2 -2 -3 -3",48,1,-256
63,"1 2 3 -2 3 2 -3 -2 -1 -3",192,1,64
64,"1 2 3 3 -1 2 -3 -3 -2 -2",192,1,-128
65,"1 2 3 -1 2 -3 -2 3 -2 -3",192,1,0
66,"1 2 3 2 -1 -2 -3 -3 -2 3",192,1,-64
67,"1 2 3 2 -3 -2 -2 -3 -1 3",192,1,-64
68,"1 2 3 -2 -1 -2 3 2 -3 -3",192,1,64
69,"1 2 3 3 -2 -3 -3 2 -1 -2",96,1,128
70,"1 2 3 2 -3 -1 3 -2 -2 -3",192,1,-64
71,"1 2 3 3 2 -1 -2 -3 -3 -2",48,1,-128
72,"1 2 3 -2 -1 -2 -3 -3 2 3",192,1,-64
73,"1 2 3 -1 3 2 -3 -3 -2 -2",192,1,0
74,"1 2 3 2 3 -2 -2 -3 -1 -3",192,1,-64
75,"1 2 3 -2 3 2 -3 -3 -1 -2",192,1,-64
76,"1 2 3 3 -2 -1 -2 -3 -3 2",48,1,-128
77,"1 2 3 -1 -3 -2 3 2 -3 -2",96,1,64
78,"1 2 3 -2 -3 -1 2 3 -2 -3",48,1,64
79,"1 2 3 -1 -2 3 2 -3 -3 -2",192,1,64
80,"1 2 3 2 3 -1 -2 -3 -2 -3",48,1,-64
81,"1 2 3 -2 -1 -3 -2 3 2 -3",96,1,64
82,"1 2 3 -2 -2 -3 2 3 -1 -3",192,1,64
83,"1 2 3 3 2 -3 -3 -1 -2 -2",192,1,-128
84,"1 2 2 3 3 -1 -3 -3 -2 -2",48,1,-256
85,"1 2 3 -2 -1 2 -3 -3 -2 3",192,1,-64
86,"1 2 3 -1 2 -3 -3 -2 3 -2",192,1,-64
87,"1 2 3 2 -3 -3 -1 3 -2 -2",192,1,-128
88,"1 2 3 -2 -1 2 3 -2 -3 -3",192,1,64
89,"1 2 3 3 -2 -2 -3 -3 -1 2",192,1,-128
90,"1 2 3 -1 -2 3 -2 -3 2 -3",96,1,-64
91,"1 2 3 -1 -3 2 3 -2 -3 -2",192,1,64
92,"1 2 3 -2 -1 -3 2 3 -2 -3",96,1,64
93,"1 2 3 -1 2 -3 -3 -2 -2 3",96,1,-128
94,"1 2 3 2 3 -2 -1 -2 -3 -3",192,1,-64
95,"1 2 3 2 -3 -3 -2 -2 -1 3",192,1,-128
96,"1 2 3 2 -3 -3 -2 3 -1 -2",192,1,64
97,"1 2 3 3 2 -1 -2 -2 -3 -3",192,1,-128
98,"1 2 3 -1 -2 -2 3 2 -3 -3",96,1,128
99,"1 2 3 2 -3 -1 -2 -3 -2 3",96,1,-64
100,"1 2 3 -2 -2 3 -1 -3 -3 2",192,1,0
101,"1 2 3 2 3 -1 -3 -3 -2 -2",96,1,-128
102,"1 2 3 -2 -3 -1 -2 -3 2 3",48,1,-64
103,"1 2 3 2 -1 3 -2 -2 -3 -3",192,1,-128
104,"1 2 3 -2 -3 -1 3 2 -3 -2",48,1,-64
105,"1 2 3 2 -3 -2 -2 3 -1 -3",192,1,64
106,"1 2 3 -2 -2 -3 -3 2 -1 3",192,1,0
107,"1 2 3 -2 3 2 -1 -2 -3 -3",192,1,-64
108,"1 2 3 3 -2 -1 2 -3 -3 -2",48,1,-128
