j,trajectory,M,S,D
109,"1 2 3 -2 -3 -1 -3 -2 3 2",48,1,64
110,"1 2 3 -1 -2 -3 -3 -2 3 2",192,1,64
111,"1 2 3 -1 3 -2 -2 -3 -3 2",96,1,-128
112,"1 2 3 2 -3 -1 -2 3 -2 -3",96,1,0
113,"1 2 3 2 -3 -2 -1 -3 -2 3",192,1,0
114,"1 2 3 -1 3 2 -3 -2 -3 -2",192,1,0
115,"1 2 3 -1 -2 -3 2 3 -2 -3",96,1,64
116,"1 2 3 -1 3 -2 -3 2 -3 -2",192,1,0
117,"1 2 3 -1 2 3 -2 -2 -3 -3",192,1,0
118,"1 2 3 2 -3 -1 3 -2 -3 -2",96,1,-64
119,"1 2 3 2 3 -2 -1 -3 -3 -2",192,1,-64
120,"1 2 3 -1 -2 3 2 -3 -2 -3",192,1,64
121,"1 2 3 3 2 -1 -3 -2 -2 -3",48,1,0
122,"1 2 3 -2 -3 2 3 -2 -1 -3",96,1,64
123,"1 2 3 3 -1 -2 -2 -3 -3 2",192,1,-128
124,"1 2 3 2 3 -2 -2 -1 -3 -3",192,1,-128
125,"1 2 3 2 -3 -2 -1 3 -2 -3",192,1,0
126,"1 2 3 -1 -3 2 -3 -2 3 -2",96,1,-64
127,"1 2 3 -2 -3 -1 3 -2 -3 2",96,1,0
128,"1 2 3 3 2 -3 -2 -2 -1 -3",192,1,128
129,"1 2 2 3 3 -2 -2 -1 -3 -3",96,1,-256
130,"1 2 3 -1 -3 -3 2 3 -2 -2",96,1,128
131,"1 2 -1 3 3 2 -3 -3 -2 -2",192,1,128
132,"1 2 3 -1 2 -3 -2 -3 -2 3",96,1,-64
133,"1 2 3 4 -2 4 -1 -4 -4 -3",384,1,-64
134,"1 2 3 4 -1 -3 -4 3 -2 -3",192,1,32
135,"1 2 3 4 -1 -4 -4 -3 4 -2",384,1,-64
136,"1 2 3 4 -2 4 -3 -4 -1 -4",384,1,-32
137,"1 2 3 4 -1 3 -2 -3 -4 -3",384,1,-32
138,"1 2 3 4 -1 3 -4 -3 -3 -2",384,1,-64
139,"1 2 3 4 -3 -1 -4 3 -2 -3",192,1,32
140,"1 2 3 4 -2 -4 -4 -1 4 -3",192,1,0
141,"1 2 3 4 4 -1 -2 -4 -4 -3",192,1,-128
142,"1 2 3 4 -1 -3 -2 3 -4 -3",192,1,-32
143,"1 2 3 4 3 -1 -3 -4 -3 -2",192,1,-64
144,"1 2 3 4 -1 4 -3 -2 -4 -4",384,1,-64
145,"1 2 3 4 -1 -4 -3 -4 -2 4",384,1,-32
146,"1 2 3 4 4 -3 -4 -4 -1 -2",384,1,64
147,"1 2 3 4 -3 4 -2 -1 -4 -4",384,1,-64
148,"1 2 3 4 -2 -3 -3 -4 -1 3",384,1,0
149,"1 2 3 4 -2 -3 -4 3 -1 -3",384,1,32
150,"1 2 3 4 -3 -1 -3 -4 3 -2",192,1,0
151,"1 2 3 4 -3 -4 -2 3 -1 -3",192,1,32
152,"1 2 3 4 -3 -4 3 -1 -3 -2",384,1,64
153,"1 2 3 4 -1 4 -2 -4 -4 -3",384,1,-64
154,"1 2 3 4 -2 -4 -4 -3 -1 4",384,1,0
155,"1 2 3 4 4 -3 -4 -1 -4 -2",384,1,0
156,"1 2 3 4 -3 -2 -1 3 -4 -3",96,1,-64
157,"1 2 3 4 4 -3 -2 -1 -4 -4",96,1,-128
158,"1 2 3 4 -2 -3 -4 -4 -1 4",384,1,64
159,"1 2 3 4 -2 -4 3 -1 -3 -3",384,1,0
160,"1 2 3 4 -1 -4 -4 -2 4 -3",192,1,0
161,"1 2 3 4 -3 -2 4 -1 -4 -4",384,1,-64
162,"1 2 3 4 -2 3 -4 -3 -1 -3",384,1,-32
163,"1 2 3 4 -3 -2 -4 3 -1 -3",384,1,32
164,"1 2 3 4 -1 -4 -2 -4 -3 4",192,1,-32
165,"1 2 3 4 -2 4 -1 -3 -4 -4",384,1,-64
166,"1 2 3 4 -3 -4 -2 -4 -1 4",192,1,32
167,"1 2 3 4 3 -4 -3 -1 -2 -3",384,1,0
168,"1 2 3 -2 4 3 -4 -1 -3 -3",192,1,0
169,"1 2 3 4 -2 -1 4 -3 -4 -4",384,1,-64
170,"1 2 3 4 -1 4 -3 -4 -2 -4",384,1,-32
171,"1 2 3 4 -2 -3 -1 3 -4 -3",384,1,-32
172,"1 2 3 4 -1 -3 4 -2 -4 -4",384,1,-64
173,"1 2 3 4 -1 3 -4 -3 -2 -3",384,1,-32
174,"1 2 3 4 -1 -4 -2 4 -3 -4",192,1,32
175,"1 2 3 4 4 -1 -4 -4 -3 -2",192,1,-128
176,"1 2 3 4 -1 4 -2 -3 -4 -4",384,1,-64
177,"1 2 3 4 -3 4 -1 -2 -4 -4",384,1,-64
178,"1 2 3 4 3 -2 -1 -3 -4 -3",96,1,-64
179,"1 2 3 4 3 -4 -1 -3 -3 -2",384,1,-64
180,"1 2 3 4 -3 -1 3 -4 -3 -2",192,1,-64
181,"1 2 3 4 -3 -4 3 -1 -2 -3",192,1,64
182,"1 2 3 4 -2 -4 -3 -3 -1 3",384,1,64
183,"1 2 3 4 3 -4 -2 -3 -1 -3",192,1,-32
184,"1 2 3 4 -3 -4 -2 4 -1 -4",192,1,-32
185,"1 2 3 4 -3 -1 4 -2 -4 -4",384,1,0
186,"1 2 3 4 -3 -4 -4 -1 4 -2",384,1,64
187,"1 2 3 4 -3 -3 -4 3 -1 -2",192,1,64
188,"1 2 3 4 -2 4 -3 -1 -4 -4",384,1,-64
189,"1 2 3 4 4 -2 -3 -1 -4 -4",192,1,-64
190,"1 2 3 4 -3 -4 -2 -3 -1 3",192,1,-32
191,"1 2 3 4 -3 -4 3 -2 -1 -3",192,1,64
192,"1 2 3 4 -2 -3 -3 -1 -4 3",192,1,0
193,"1 2 3 4 -1 4 -2 -4 -3 -4",192,1,-32
194,"1 2 3 4 -2 -4 -3 -4 -1 4",384,1,32
195,"1 2 3 4 4 -1 -3 -4 -4 -2",384,1,-64
196,"1 2 3 4 3 -4 -3 -1 -3 -2",384,1,0
197,"1 2 3 4 -3 4 -1 -4 -4 -2",384,1,-64
198,"1 2 3 4 -1 -2 4 -3 -4 -4",384,1,0
199,"1 2 3 4 -1 3 -4 -2 -3 -3",384,1,-64
200,"1 2 3 4 -3 -1 -2 3 -4 -3",96,1,-64
201,"1 2 3 4 -3 -4 -3 -1 3 -2",384,1,0
202,"1 2 3 4 4 -2 -1 -4 -4 -3",192,1,-128
203,"1 2 3 4 4 -1 -4 -3 -4 -2",384,1,-64
204,"1 2 3 4 -2 -4 -3 4 -1 -4",384,1,32
205,"1 2 3 4 4 -1 -2 -3 -4 -4",96,1,-64
206,"1 2 3 4 3 -4 -3 -2 -1 -3",384,1,0
207,"1 2 3 4 -1 -4 -4 -3 -2 4",384,1,-64
208,"1 2 3 4 -3 -2 -1 -3 -4 3",96,1,-64
209,"1 2 3 4 -1 -3 -4 -4 -2 4",384,1,0
210,"1 2 3 4 -1 -3 -3 -4 3 -2",384,1,0
211,"1 2 3 4 3 -1 -4 -3 -2 -3",192,1,-32
212,"1 2 3 4 -3 -1 -4 -3 -2 3",192,1,-32
213,"1 2 3 4 4 -1 -3 -2 -4 -4",192,1,-128
214,"1 2 3 -2 4 -3 -4 3 -1 -3",192,1,32
215,"1 2 3 4 4 -1 -4 -4 -2 -3",192,1,-64
216,"1 2 3 -2 4 3 -4 -3 -1 -3",384,1,32
217,"1 2 3 4 -1 3 -2 -4 -3 -3",192,1,-64
218,"1 2 3 4 -3 -2 3 -4 -1 -3",192,1,-32
219,"1 2 3 4 -1 4 -3 -4 -4 -2",384,1,0
220,"1 2 3 4 -2 -3 -1 -3 -4 3",384,1,-32
221,"1 2 3 4 3 -4 -3 -3 -1 -2",384,1,0
222,"1 2 3 3 4 -1 -4 -3 -3 -2",96,1,-128
223,"1 2 3 4 4 -3 -1 -4 -4 -2",384,1,-64
224,"1 2 3 4 -1 -4 -3 4 -2 -4",384,1,-32
225,"1 2 3 4 -2 3 -1 -3 -4 -3",384,1,-32
226,"1 2 3 4 -3 -2 -4 -3 -1 3",384,1,32
227,"1 2 3 4 -2 3 -4 -1 -3 -3",192,1,-64
228,"1 2 3 4 3 -1 -2 -3 -4 -3",96,1,-64
229,"1 2 3 4 3 -1 -4 -3 -3 -2",384,1,-64
230,"1 2 3 4 3 -2 -4 -3 -1 -3",384,1,-32
231,"1 2 3 4 -3 4 -2 -4 -1 -4",192,1,-32
232,"1 2 3 4 -1 -2 -4 -4 -3 4",384,1,-64
233,"1 2 3 4 -2 -3 4 -1 -4 -4",384,1,0
234,"1 2 3 4 -3 -2 -4 -4 -1 4",384,1,64
235,"1 2 3 4 4 -2 -4 -4 -1 -3",384,1,-64
236,"1 2 3 4 -2 -3 -4 -3 -1 3",384,1,32
237,"1 2 3 4 -3 -1 -2 -3 -4 3",96,1,0
238,"1 2 3 4 3 -2 -3 -4 -1 -3",384,1,-32
